feature,b_cross,SE_cross,CI_lo,CI_hi,p_cross,b_AR,p_AR,n,n_subj,q_cross
liwc_hear,0.10148967356759497,0.044106282999605874,0.015042947396436204,0.18793639973875376,0.021390200430401983,0.6202506140732557,7.243852468384655e-10,244,89,0.8130958429331944
liwc_leisure,0.09594651390544193,0.04456028818042027,0.008609953931092332,0.18328307387979154,0.03130419530842958,0.6138983352433479,4.1338005728873235e-11,244,89,0.8130958429331944
liwc_i,0.1003808495109579,0.048530516013194136,0.005262785973953021,0.19549891304796277,0.03860178597355027,0.5729208463533154,4.828754689708457e-08,244,89,0.8130958429331944
liwc_filler_words,-0.12376730336678637,0.06030871081073684,-0.241970204509872,-0.005564402223700762,0.04014738324270331,0.5795077804875036,9.112553433057324e-09,244,89,0.8130958429331944
liwc_six_plus_words,-0.08519542253765976,0.04437572089736494,-0.17217023728449649,0.001779392209176972,0.054874870930896616,0.6239956367446023,2.563070350659629e-12,244,89,0.8130958429331944
liwc_power,0.08507723612627878,0.04527243793888861,-0.0036551117262676597,0.17380958397882523,0.06021335855056633,0.6060443039627094,1.604395943402034e-09,244,89,0.8130958429331944
liwc_time,0.0862978735042764,0.04636081723356876,-0.004567658567362243,0.17716340557591503,0.0626820849413949,0.6273194851963162,1.8445190791210174e-09,244,89,0.8130958429331944
liwc_personal_pronouns,0.08897356639475909,0.05027775489761975,-0.009569022428107934,0.1875161552176261,0.07678699759013087,0.5708076083733175,3.5806370416137747e-07,244,89,0.8130958429331944
liwc_death,-0.09166294736655613,0.05564930276189125,-0.20073357654462834,0.017407681811516085,0.0995264857320146,0.6618739088473133,2.0632200378884772e-11,244,89,0.8130958429331944
liwc_quantifiers,-0.07457918275142535,0.04535959007096545,-0.16348234564401826,0.014323980141167564,0.1001397008987167,0.6074504970306744,6.864721313700673e-11,244,89,0.8130958429331944
liwc_concrete,0.07440481241255646,0.04561036909433092,-0.014989868333910916,0.16379949315902384,0.10282417899223584,0.6075355194174514,1.3706217004360744e-09,244,89,0.8130958429331944
liwc_they,-0.0794260628526386,0.04918170397641887,-0.17582043134472997,0.016968305639452744,0.10632121481532165,0.6081999959372515,2.2216762881021224e-10,244,89,0.8130958429331944
