outcome,feature,coef,SE,CI_lo,CI_hi,p,n,q_fdr,group
HAMD,F0final_sma_amean,0.012289149830852943,0.10478951668379516,-0.1930945288267447,0.21767282848845057,0.9066424434784504,348,,F0
HAMD,F0final_sma_flatness,-0.025425601093620857,0.0659009906440737,-0.15458916930151637,0.10373796711427466,0.6996335686636771,348,,F0
HAMD,F0final_sma_posamean,0.012289149830852943,0.10478951668379516,-0.1930945288267447,0.21767282848845057,0.9066424434784504,348,,F0
HAMD,F0final_sma_rqmean,0.005970474348474672,0.09821940515546042,-0.18653602233917546,0.1984769710361248,0.9515287515007738,348,,F0
HAMD,F0final_sma_range,-0.01628770936160131,0.0452060410806271,-0.10488992176326856,0.07231450304006595,0.7186232498834992,348,,F0
HAMD,F0final_sma_maxPos,-0.01716330958200131,0.04142289946074915,-0.09835070066029328,0.06402408149629066,0.6786225528763894,348,,F0
HAMD,F0final_sma_minPos,-0.03175205762061778,0.041006805103876984,-0.11212391874526993,0.04861980350403437,0.43874636170621495,348,,F0
HAMD,F0final_sma_linregc1,-0.00026388082333211535,0.040059481976696884,-0.07877902273698942,0.07825126109032518,0.9947441928403975,348,,F0
HAMD,F0final_sma_linregc2,0.12897248313046736,0.07996058871423686,-0.027747390932056804,0.2856923571929915,0.10675523094740226,348,,F0
HAMD,F0final_sma_linregerrQ,0.043019655425708354,0.049832406969759754,-0.054650067497963535,0.14068937834938025,0.3879798409769242,348,,F0
HAMD,F0final_sma_qregc1,0.06349433213170101,0.038369307173597135,-0.011708128040303703,0.13869679230370574,0.09796082945519928,348,,F0
HAMD,F0final_sma_qregc2,-0.07169944453213824,0.04007344646810529,-0.15024195634601845,0.0068430672817419574,0.07358247464702732,348,,F0
HAMD,F0final_sma_qregc3,0.15177058653964515,0.07836478691431392,-0.0018215734685658458,0.3053627465478561,0.05277967883301014,348,,F0
HAMD,F0final_sma_qregerrQ,0.04426716464621763,0.049830851614167296,-0.05339950983650989,0.14193383912894514,0.37435329308012544,348,,F0
HAMD,F0final_sma_centroid,-0.024364471384501173,0.03954221083075576,-0.10186578048187211,0.05313683771286976,0.5377865428640352,348,,F0
HAMD,F0final_sma_quartile1,0.018740396215743905,0.10834653260231684,-0.19361490553459187,0.2310956979660797,0.8626772107425131,348,,F0
HAMD,F0final_sma_quartile2,0.142626062145604,0.1320529612615931,-0.11619298597898145,0.4014451102701895,0.28011229027139106,348,,F0
HAMD,F0final_sma_quartile3,0.025444772786692424,0.0955282019118158,-0.16178706246833685,0.21267660804172173,0.7899629280195117,348,,F0
HAMD,F0final_sma_iqr1-2,0.056844926351021174,0.048681607749149224,-0.038569271546817316,0.15225912424885968,0.24293266249545487,348,,F0
HAMD,F0final_sma_iqr2-3,-0.06198643889819207,0.06163519869059618,-0.18278920851173086,0.05881633071534674,0.3145605310637428,348,,F0
HAMD,F0final_sma_iqr1-3,0.007451475611852804,0.05480986290311566,-0.09997388167583186,0.11487683289953747,0.8918597299337194,348,,F0
HAMD,F0final_sma_percentile1.0,0.05587365981640034,0.051829019913991456,-0.04570935256903216,0.15745667220183285,0.28101673931137683,348,,F0
HAMD,F0final_sma_percentile99.0,-0.06626455597495283,0.05795754357340108,-0.17985925401122982,0.047330142061324146,0.25290190680819813,348,,F0
HAMD,F0final_sma_pctlrange0-1,-0.0783817646626811,0.05835812772673006,-0.19276159321226036,0.03599806388689816,0.1792342513516969,348,,F0
HAMD,F0final_sma_stddev,-0.014299225454413752,0.05915978619385131,-0.13025027572745224,0.10165182481862474,0.8090086327423701,348,,F0
HAMD,F0final_sma_skewness,-0.10573523851387193,0.07258763094593959,-0.24800438089099863,0.03653390386325478,0.14521124562195872,348,,F0
HAMD,F0final_sma_kurtosis,-0.02389464397194138,0.056905361262328105,-0.13542710257334523,0.08763781462946245,0.6745574450555334,348,,F0
HAMD,F0final_sma_upleveltime25,0.1251946477808116,0.07851288150997111,-0.028687772301192516,0.2790770678628157,0.11080739303498592,348,,F0
HAMD,F0final_sma_upleveltime50,0.079035295879405,0.04508281468141194,-0.009325397217855996,0.167395988976666,0.07958250826951829,348,,F0
HAMD,F0final_sma_upleveltime75,0.05123069859815845,0.04589835960554258,-0.038728433178173045,0.14118983037448996,0.2643463284221832,348,,F0
HAMD,F0final_sma_upleveltime90,0.000572850510015003,0.04711702545471479,-0.09177482243988294,0.09292052345991295,0.9902995294599898,348,,F0
HAMD,F0final_sma_risetime,-0.013360661592128948,0.05796946760712328,-0.12697873030505188,0.10025740712079398,0.817720696763172,348,,F0
HAMD,F0final_sma_leftctime,-0.019763625508087294,0.06493217283482446,-0.1470283457022733,0.1075010946860987,0.7608434390383152,348,,F0
HAMD,F0final_sma_lpgain,-0.03333448413758157,0.061984020805994106,-0.1548209325343114,0.08815196425914826,0.5907209494817651,348,,F0
HAMD,F0final_sma_lpc0,0.04775330462726553,0.05467461719336253,-0.05940697594023944,0.1549135851947705,0.3824401682656532,348,,F0
HAMD,F0final_sma_lpc1,-0.025048385382718242,0.053263223899726986,-0.12944238592667617,0.0793456151612397,0.6381582510377422,348,,F0
HAMD,F0final_sma_lpc2,-0.08411648666275075,0.044437270467034856,-0.17121193634940446,0.002978963023902964,0.05836764514897851,348,,F0
HAMD,F0final_sma_lpc3,0.02873825678420107,0.04065106530808931,-0.05093636715283961,0.10841288072124175,0.4795977618487214,348,,F0
HAMD,F0final_sma_lpc4,0.022406458655789538,0.043592686923104036,-0.06303363770282455,0.10784655501440363,0.6072549164106611,348,,F0
HAMD,F0final_sma_de_amean,-0.01598261979750445,0.04056463071003028,-0.09548783503533124,0.06352259544032234,0.6935782127393821,348,,F0
HAMD,F0final_sma_de_flatness,-0.07490594090831416,0.041622144523146665,-0.15648384513300267,0.00667196331637436,0.07191345897722208,348,,F0
HAMD,F0final_sma_de_posamean,-0.03622619659918116,0.04093671859093809,-0.11646069068267109,0.04400829748430877,0.37619351407083,348,,F0
HAMD,F0final_sma_de_rqmean,0.0015771428678209222,0.04053750223122627,-0.07787490152859465,0.08102918726423648,0.9689655137092191,348,,F0
HAMD,F0final_sma_de_range,0.03624860961171002,0.04094986243333107,-0.04401164592948861,0.11650886515290865,0.37605151947955184,348,,F0
HAMD,F0final_sma_de_maxPos,-0.03429541373494476,0.04029392625723092,-0.11327005799483017,0.044679230524940654,0.39469653177814146,348,,F0
HAMD,F0final_sma_de_minPos,-0.033837420179292116,0.04170548148750041,-0.11557866185269489,0.047903821494110654,0.417169139728937,348,,F0
HAMD,F0final_sma_de_linregc1,-0.06847896939255618,0.04171593690890268,-0.15024070331535058,0.013282764530238217,0.10068243607731531,348,,F0
HAMD,F0final_sma_de_linregc2,-0.00046165220077964275,0.041561050749791606,-0.0819198148300126,0.08099651042845332,0.9911374331893952,348,,F0
HAMD,F0final_sma_de_linregerrQ,-0.1360358312355711,0.04575957158164485,-0.22572294348357755,-0.046348718987564624,0.0029505934125690315,348,,F0
HAMD,F0final_sma_de_qregc1,0.041151133644112776,0.040809264012934596,-0.038833554056825544,0.1211358213450511,0.3132733876222873,348,,F0
HAMD,F0final_sma_de_qregc2,-0.06888401303178998,0.04159726994459074,-0.15041316397837828,0.012645137914798321,0.09772700860790383,348,,F0
HAMD,F0final_sma_de_qregc3,-0.0001642015234574212,0.041551472625903765,-0.08160359137483074,0.0812751883279159,0.9968469584552944,348,,F0
HAMD,F0final_sma_de_qregerrQ,-0.1361558732760166,0.04577406741898403,-0.22587139684313362,-0.0464403497088996,0.0029344744587396438,348,,F0
HAMD,F0final_sma_de_centroid,-0.07637903472831234,0.04049748666920993,-0.15575265006435474,0.0029945806077300713,0.059292376312332425,348,,F0
HAMD,F0final_sma_de_quartile1,0.08834388167316987,0.04617870800691726,-0.002164722872979377,0.1788524862193191,0.05573692761302987,348,,F0
HAMD,F0final_sma_de_quartile2,0.08987003622570405,0.04699346438728758,-0.0022354614821452484,0.18197553393355337,0.05582563093269757,348,,F0
HAMD,F0final_sma_de_quartile3,-0.10281084210337671,0.049820750539512335,-0.20045771884357536,-0.0051639653631780635,0.03905424571124043,348,,F0
HAMD,F0final_sma_de_iqr1-2,-0.08604930982198765,0.04622776990059254,-0.17665407391275378,0.004555454268778486,0.06268484451556329,348,,F0
HAMD,F0final_sma_de_iqr2-3,-0.11033434771637415,0.047546663086642384,-0.20352409495125326,-0.017144600481495048,0.020311213069537745,348,,F0
HAMD,F0final_sma_de_iqr1-3,-0.09473682351563811,0.04662110804442057,-0.18611251620205305,-0.003361130829223194,0.042147723944869875,348,,F0
HAMD,F0final_sma_de_percentile1.0,0.06564614584246546,0.04580260564850699,-0.024125311626699078,0.15541760331163001,0.1517891415919762,348,,F0
HAMD,F0final_sma_de_percentile99.0,-0.07336955045904879,0.046872881269910946,-0.16523870959969633,0.018499608681598737,0.11751543615322461,348,,F0
HAMD,F0final_sma_de_pctlrange0-1,-0.07147535853500404,0.046467401763422615,-0.16254979244646536,0.019599075376457276,0.12400392326750337,348,,F0
HAMD,F0final_sma_de_stddev,0.0015857009047040623,0.040537436270516695,-0.07786621421109635,0.08103761602050447,0.968797146438384,348,,F0
HAMD,F0final_sma_de_skewness,-0.023906226874009805,0.0411915934758179,-0.10464026655242795,0.05682781280440833,0.5616673939617217,348,,F0
HAMD,F0final_sma_de_kurtosis,0.1390812805384387,0.043289155006435154,0.054236095804654036,0.22392646527222337,0.001314278801906053,348,,F0
HAMD,F0final_sma_de_upleveltime25,-0.011795214914234431,0.04052447761637818,-0.09122173153463525,0.06763130170616638,0.7710024032451672,348,,F0
HAMD,F0final_sma_de_upleveltime50,0.014086006363157566,0.042309863087921035,-0.06883980147998829,0.09701181420630343,0.7391909833680812,348,,F0
HAMD,F0final_sma_de_upleveltime75,0.002787744951874076,0.04147395771147886,-0.07849971845896174,0.08407520836270989,0.9464091448574966,348,,F0
HAMD,F0final_sma_de_upleveltime90,0.014165940824986234,0.041117912531234445,-0.06642368685570145,0.09475556850567392,0.7304553016694344,348,,F0
HAMD,F0final_sma_de_risetime,-0.031453148516325996,0.06011363102794605,-0.14927370031102977,0.08636740327837776,0.600815441349227,348,,F0
HAMD,F0final_sma_de_leftctime,0.03445874438743957,0.05503186711210092,-0.07340173315427251,0.14231922192915164,0.5312101142343215,348,,F0
HAMD,F0final_sma_de_lpgain,-0.018665269704976003,0.03960196019775785,-0.09628368540977011,0.0589531459998181,0.6374109044358123,348,,F0
HAMD,F0final_sma_de_lpc0,0.028326338180152864,0.0413386658373944,-0.05269595803007648,0.1093486343903822,0.49320117386358886,348,,F0
HAMD,F0final_sma_de_lpc1,-0.015301992292790254,0.04056181281977537,-0.09480168456720503,0.06419769998162453,0.7059869390943905,348,,F0
HAMD,F0final_sma_de_lpc2,0.01748969652494065,0.03948887990651447,-0.05990708588165514,0.09488647893153643,0.6578367556131666,348,,F0
HAMD,F0final_sma_de_lpc3,-0.012976324705465508,0.04122839616197439,-0.09378249632328471,0.0678298469123537,0.7529572421400853,348,,F0
HAMD,F0final_sma_de_lpc4,0.027275157864200223,0.0406308448098054,-0.05235983462445455,0.10691015035285499,0.5020345803460344,348,,F0
HAMD,F0final_sma_ff0_nnz,-0.056743639391310864,0.06410309414953264,-0.18238339522197508,0.06889611643935337,0.37605230168390824,348,,F0
HAMD,F0final_sma_ff0_meanSegLen,-0.06984406187411998,0.05517097165465552,-0.177977179309325,0.03828905556108503,0.2055285806011189,348,,F0
HAMD,F0final_sma_ff0_maxSegLen,-0.019072635714965567,0.04807084435794731,-0.11328975936297275,0.07514448793304163,0.6915437213096943,348,,F0
HAMD,F0final_sma_ff0_minSegLen,-1008.5802705150915,,,,,348,,F0
HAMD,F0final_sma_ff0_segLenStddev,-0.02318258156920439,0.05271420518260532,-0.1265005252007655,0.0801353620623567,0.6600974380357878,348,,F0
PHQ,F0final_sma_amean,-0.005196116670888823,0.10442570568585544,-0.20986673887534502,0.19947450553356738,0.9603144548474798,348,0.9736328302707287,F0
PHQ,F0final_sma_flatness,-0.12494732945003964,0.06615590942990483,-0.2546105292971469,0.004715870397067584,0.05893474761361101,348,0.3577392514313472,F0
PHQ,F0final_sma_posamean,-0.005196116670888823,0.10442570568585544,-0.20986673887534502,0.19947450553356738,0.9603144548474798,348,0.9736328302707287,F0
PHQ,F0final_sma_rqmean,0.01857340804725403,0.09796159624255606,-0.17342779245621012,0.21057460855071816,0.8496234719888847,348,0.9660102489736634,F0
PHQ,F0final_sma_range,-0.005002063566580601,0.046280717811323153,-0.09571060365543538,0.08570647652227417,0.913931485854267,348,0.9736328302707287,F0
PHQ,F0final_sma_maxPos,0.05872025667911955,0.04251492830662291,-0.02460747160716381,0.1420479849654029,0.167227324547084,348,0.6034725190177379,F0
