outcome,feature,coef,SE,CI_lo,CI_hi,p,n,q_fdr,group
HAMD,F0final_sma_amean,0.04035819741720431,0.08675085146273037,-0.1296703470779311,0.21038674191233972,0.6417741958399179,348,0.9189087695987348,F0
HAMD,F0final_sma_flatness,-0.02423857061312956,0.06282933795372168,-0.14738181017491955,0.09890466894866043,0.699656441972508,348,0.9189087695987348,F0
HAMD,F0final_sma_posamean,0.04035819741720431,0.08675085146273037,-0.1296703470779311,0.21038674191233972,0.6417741958399179,348,0.9189087695987348,F0
HAMD,F0final_sma_rqmean,0.041779205824384574,0.08518122220943218,-0.12517292186520587,0.20873133351397502,0.6237982658502961,348,0.9189087695987348,F0
HAMD,F0final_sma_range,0.0037278989356187967,0.04637225308185211,-0.08716004698678786,0.09461584485802546,0.9359265052864779,348,0.9474811534998913,F0
HAMD,F0final_sma_maxPos,-0.024868018409975035,0.04122013603677764,-0.10565800047990082,0.05592196365995075,0.5463105797294093,348,0.9142340313839096,F0
HAMD,F0final_sma_minPos,-0.03877992228748549,0.041103744309158106,-0.11934178076317858,0.04178193618820761,0.34544338113457596,348,0.8097236308531717,F0
HAMD,F0final_sma_linregc1,-0.013018276528565647,0.039780667063566075,-0.0909869512541339,0.06495039819700262,0.7434777943402378,348,0.9189087695987348,F0
HAMD,F0final_sma_linregc2,0.07849269580958439,0.06954813141118864,-0.057819136948404196,0.21480452856757298,0.2590625164621264,348,0.7081042116631455,F0
HAMD,F0final_sma_linregerrQ,0.010976821525939475,0.05076710574920501,-0.08852487734183867,0.11047852039371761,0.828816910575213,348,0.9189087695987348,F0
HAMD,F0final_sma_qregc1,0.07865315743584067,0.04090915055674174,-0.0015273042934998426,0.15883361916518118,0.054526541905248166,348,0.30238828923171845,F0
HAMD,F0final_sma_qregc2,-0.060218181712375855,0.040943455663785135,-0.1404658802160072,0.020029516791255496,0.1413548120271476,348,0.5480027657251235,F0
HAMD,F0final_sma_qregc3,0.09697338296385732,0.06851622422907296,-0.03731594888179629,0.23126271480951094,0.1569704142378545,348,0.5596336507610464,F0
HAMD,F0final_sma_qregerrQ,0.012862126784342532,0.05081239037143536,-0.08672832831206059,0.11245258188074567,0.800167963638384,348,0.9189087695987348,F0
HAMD,F0final_sma_centroid,-0.026816965192454457,0.03980338924554865,-0.10483017457635872,0.051196244191449816,0.500479346813203,348,0.9142340313839096,F0
HAMD,F0final_sma_quartile1,0.05695466189384183,0.08325919748324716,-0.10623036655503051,0.22013969034271416,0.4939344329418621,348,0.9142340313839096,F0
HAMD,F0final_sma_quartile2,0.10232118668365141,0.08982944104437426,-0.07374128251468624,0.27838365588198904,0.2546778344842766,348,0.7081042116631455,F0
HAMD,F0final_sma_quartile3,0.026169856374425735,0.08787856539898913,-0.14606896682064072,0.19840867956949218,0.7658591185662401,348,0.9189087695987348,F0
HAMD,F0final_sma_iqr1-2,0.021571624900536098,0.05465376102975794,-0.0855477783374482,0.1286910281385204,0.693067200624188,348,0.9189087695987348,F0
HAMD,F0final_sma_iqr2-3,-0.06851778902794134,0.060523994180749,-0.18714263782272117,0.050107059766838505,0.2576022909092065,348,0.7081042116631455,F0
HAMD,F0final_sma_iqr1-3,-0.011952047036571581,0.05429941268481917,-0.11837694028049453,0.09447284620735136,0.8257825709359826,348,0.9189087695987348,F0
HAMD,F0final_sma_percentile1.0,0.03212368220394355,0.05217708450362571,-0.0701415242414658,0.13438888864935292,0.5381146615687329,348,0.9142340313839096,F0
HAMD,F0final_sma_percentile99.0,-0.0673112203902064,0.05711386987831126,-0.1792523483694035,0.044629907588990714,0.23857972004167516,348,0.7081042116631455,F0
HAMD,F0final_sma_pctlrange0-1,-0.06744625583219262,0.05742694466548104,-0.18000099911871004,0.0451084874543248,0.24020659746274287,348,0.7081042116631455,F0
HAMD,F0final_sma_stddev,-0.001203734985615643,0.05715783438059515,-0.11323103180588741,0.11082356183465612,0.9831979188837864,348,0.9831979188837864,F0
HAMD,F0final_sma_skewness,-0.12068610682903112,0.06619628901513674,-0.25042844920890356,0.009056235550841299,0.06827989205597519,348,0.3110528415883314,F0
HAMD,F0final_sma_kurtosis,-0.09343053123890539,0.05532713830547234,-0.2018697296852976,0.015008667207486823,0.09127834685505139,348,0.3742412221057107,F0
HAMD,F0final_sma_upleveltime25,0.06810208070357623,0.0722084828569548,-0.07342394507433309,0.20962810648148555,0.34561374487635377,348,0.8097236308531717,F0
HAMD,F0final_sma_upleveltime50,0.007152253224390441,0.049576728474190125,-0.09001634905634359,0.10432085550512446,0.8852901560768298,348,0.9189087695987348,F0
HAMD,F0final_sma_upleveltime75,0.00919151676009121,0.04732987158235153,-0.08357332693422356,0.10195636045440598,0.8460183614430097,348,0.9189087695987348,F0
HAMD,F0final_sma_upleveltime90,0.005068922390834352,0.046193348793012935,-0.08546837756876778,0.09560622235043649,0.912621340304842,348,0.9354368738124631,F0
HAMD,F0final_sma_risetime,-0.018523696129391348,0.058220740268692436,-0.13263425020928934,0.09558685795050666,0.7503611573392448,348,0.9189087695987348,F0
HAMD,F0final_sma_leftctime,-0.022533860471160853,0.06472144990765846,-0.14938557131738464,0.10431785037506294,0.7277149153042093,348,0.9189087695987348,F0
HAMD,F0final_sma_lpgain,0.009708210204733744,0.057115135899427794,-0.10223539913025545,0.12165181953972293,0.865028902903511,348,0.9189087695987348,F0
HAMD,F0final_sma_lpc0,0.03725984814362467,0.05396875028364715,-0.06851695870295957,0.1430366549902089,0.48994473924866333,348,0.9142340313839096,F0
HAMD,F0final_sma_lpc1,-0.008252051884366217,0.053373785683193724,-0.11286274954198548,0.09635864577325305,0.877129806941923,348,0.9189087695987348,F0
HAMD,F0final_sma_lpc2,-0.08412787388317053,0.044555148628347634,-0.17145436052056107,0.0031986127542200232,0.05900259302082311,348,0.30238828923171845,F0
HAMD,F0final_sma_lpc3,0.026998803079709404,0.04075394324428431,-0.05287745790707728,0.10687506406649609,0.5076615926554702,348,0.9142340313839096,F0
HAMD,F0final_sma_lpc4,0.00893914954403615,0.0440577953652773,-0.07741254261014308,0.09529084169821536,0.8392163368417339,348,0.9189087695987348,F0
HAMD,F0final_sma_de_amean,0.006835954021837131,0.042229425955259935,-0.07593219993827331,0.08960410798194758,0.8714030651616018,348,0.9189087695987348,F0
HAMD,F0final_sma_de_flatness,-0.07285577161377418,0.041601374469502336,-0.15439296728136287,0.008681424053814488,0.07989720876833202,348,0.3448195325791171,F0
HAMD,F0final_sma_de_posamean,-0.08993918856721417,0.047265421920856705,-0.18257771324618327,0.002699336111754949,0.05705962245064537,348,0.30238828923171845,F0
HAMD,F0final_sma_de_rqmean,0.010624973252722212,0.04245493083641432,-0.0725851621527888,0.09383510865823323,0.8023826037032532,348,0.9189087695987348,F0
HAMD,F0final_sma_de_range,0.059984700002043284,0.04136534280108013,-0.021089882096226975,0.14105928210031354,0.14702513226771607,348,0.5480027657251235,F0
HAMD,F0final_sma_de_maxPos,-0.05071916058305813,0.04202637301583126,-0.13308933809493337,0.03165101692881711,0.2274932863155642,348,0.7081042116631455,F0
HAMD,F0final_sma_de_minPos,-0.04115459887697084,0.04334206988788934,-0.12610349487265193,0.04379429711871025,0.3423510832523978,348,0.8097236308531717,F0
HAMD,F0final_sma_de_linregc1,-0.04106467346004012,0.04296757873434746,-0.12527958028225025,0.04315023336217002,0.3392172541534073,348,0.8097236308531717,F0
HAMD,F0final_sma_de_linregc2,0.008766172811367396,0.041476085383967964,-0.07252546076091795,0.09005780638365274,0.8326103664253525,348,0.9189087695987348,F0
HAMD,F0final_sma_de_linregerrQ,-0.18212776192373228,0.04776491583458799,-0.2757452766841117,-0.08851024716335289,0.00013728850885756376,348,0.003950602527459495,F0
HAMD,F0final_sma_de_qregc1,0.03135692160601267,0.04250658862236066,-0.051954461199474264,0.1146683044114996,0.4606994721156483,348,0.9142340313839096,F0
HAMD,F0final_sma_de_qregc2,-0.04341881794264258,0.042741510027038715,-0.12719063824049606,0.040353002355210894,0.3097024378009463,348,0.8097236308531717,F0
HAMD,F0final_sma_de_qregc3,0.008887104071692119,0.04148113537921363,-0.07241442730939683,0.09018863545278107,0.8303564151408125,348,0.9189087695987348,F0
HAMD,F0final_sma_de_qregerrQ,-0.1824508806594513,0.04775667959778879,-0.27605225269233613,-0.08884950862656649,0.00013322114342222756,348,0.003950602527459495,F0
HAMD,F0final_sma_de_centroid,-0.07549721719438243,0.04064962088777222,-0.15516901011962309,0.004174575730858221,0.06327311480608666,348,0.3051997302411239,F0
HAMD,F0final_sma_de_quartile1,0.17741340625974553,0.050521502855152896,0.07839308021880834,0.2764337323006827,0.00044534830505927947,348,0.005216937287837274,F0
HAMD,F0final_sma_de_quartile2,0.15408887946251767,0.05133133996757378,0.05348130184789164,0.2546964570771437,0.0026834614125913216,348,0.02000398507568076,F0
HAMD,F0final_sma_de_quartile3,-0.18321992275132234,0.05195643712136579,-0.2850526682742192,-0.08138717722842548,0.00042122746911075766,348,0.005216937287837274,F0
HAMD,F0final_sma_de_iqr1-2,-0.1834948617786983,0.05045783144390513,-0.28239039414674505,-0.08459932941065158,0.00027626229353198967,348,0.004530701613924631,F0
HAMD,F0final_sma_de_iqr2-3,-0.18982993868904163,0.050502468567595465,-0.2888129582118949,-0.0908469191661884,0.0001707132219853991,348,0.003950602527459495,F0
HAMD,F0final_sma_de_iqr1-3,-0.18785416378838218,0.05038488861749501,-0.2866067308437345,-0.08910159673302985,0.00019271231841265827,348,0.003950602527459495,F0
HAMD,F0final_sma_de_percentile1.0,0.1636345912069655,0.049258762450352905,0.06708919088125982,0.2601799915326712,0.0008939431850632933,348,0.008476659956753368,F0
