item,coef,SE,CI_lo,CI_hi,p,n,q_fdr
PHQ9,0.4412560808709736,0.040258660149403526,0.3623505569123048,0.5201616048296425,5.915471155889888e-28,322,3.963365674446225e-26
HAMD3,0.41846768034144644,0.04169990401504297,0.336737370313185,0.5001979903697078,1.0672202173747706e-23,322,3.5751877282054815e-22
PHQ6,0.41519873527212836,0.04241867819823053,0.33205965373180213,0.4983378168124546,1.2663950452950087e-22,322,2.8282822678255195e-21
BAI5,0.37943990707907427,0.04176810370497349,0.2975759281147922,0.4613038860433563,1.042321441393204e-19,322,1.7458884143336168e-18
BHOL12,0.35458003722447345,0.041834630640926365,0.272585667861722,0.4365744065872249,2.335618658826629e-17,322,3.1297290028276833e-16
BAI8,0.3716410023017794,0.0440783310600882,0.2852490609253733,0.4580329436781855,3.416228579877102e-17,322,3.814788580862764e-16
BAI10,0.37571848407584146,0.044705997418127925,0.2880963392433701,0.46334062890831285,4.3076005119533184e-17,322,4.0300122477548853e-16
BAI4,0.3383062200241382,0.04031677558728229,0.2592867919002812,0.41732564814799517,4.8119549226924005e-17,322,4.0300122477548853e-16
BHOL2,0.3655944734591154,0.04390684659280936,0.27953863546248386,0.4516503114557469,8.320167184972371e-17,322,6.193902237701654e-16
PHQ7,0.33993340574567726,0.04102306054346255,0.2595296845448845,0.42033712694647,1.1672973806797798e-16,322,7.820892450554525e-16
BAI19,0.346680907654574,0.04200271218333687,0.264357104522232,0.429004710786916,1.534690196563417e-16,322,9.347658469977176e-16
BAI7,0.3939749445029424,0.04926918642286313,0.2974091135665409,0.49054077543934393,1.2813459060138789e-15,322,7.154181308577491e-15
PHQ2,0.33513477013492826,0.04208427013279759,0.2526511163589903,0.41761842391086623,1.6734656174477714e-15,322,8.624784336076976e-15
BHOL17,0.33535373465100293,0.04221383706874904,0.2526161343470129,0.41809133495499295,1.955014366957157e-15,322,9.356140184723538e-15
PHQ1,0.3206764001623072,0.040484437447109375,0.24132836083160814,0.40002443949300626,2.3564674342766073e-15,322,1.0525554539768846e-14
BHOL14,0.3308315174002244,0.04186744180273697,0.2487728393420332,0.41289019545841554,2.7472698302478536e-15,322,1.1504192414162888e-14
BAI12,0.3597853075802423,0.04585038391344641,0.26992020643255266,0.44965040872793194,4.263039624192085e-15,322,1.6801391460051156e-14
BHOL7,0.3430290464126573,0.04517596752121539,0.2544857771043239,0.4315723157209907,3.121594749421948e-14,322,1.1619269345070584e-13
BAI14,0.343268871773701,0.04598113106507869,0.2531475109177309,0.43339023262967113,8.302861810931365e-14,322,2.9278512701705344e-13
BAI3,0.3055942446853461,0.04106947070191812,0.22509956124546363,0.38608892812522855,9.999388346400185e-14,322,3.3497950960440623e-13
BHOL13,-0.3496411396333156,0.04764830766028198,-0.44303010657175224,-0.256252172694879,2.1688198343412831e-13,322,6.919568042898379e-13
BAI16,0.30926223708448375,0.04246327378461063,0.22603574980098307,0.39248872436798443,3.2635101618997405e-13,322,9.938871856694664e-13
BAI13,0.3281069568309193,0.04547812068657279,0.2389714782006706,0.41724243546116796,5.408830990628189e-13,322,1.5756159842264725e-12
BHOL11,0.30899919078849813,0.04354414751812145,0.22365422991548092,0.3943441516615154,1.2820807512228958e-12,322,3.5791420971639176e-12
BHOL1,-0.31933976267596786,0.04504541815646013,-0.4076271599311764,-0.23105236542075935,1.3480761757652976e-12,322,3.6128441510509973e-12
BAI15,0.31449779011532264,0.044879375522246905,0.22653583044307024,0.40245974978757504,2.423991211071959e-12,322,6.2464388900700485e-12
BHOL5,-0.3000029276852665,0.042915616846140245,-0.3841159910780218,-0.21588986429251117,2.7384878900985374e-12,322,6.795506986540815e-12
BAI17,0.3138864806381317,0.045065844490993726,0.22555904850290118,0.40221391277336216,3.2825503144723667e-12,322,7.854673966773164e-12
BHOL19,-0.3237747935499976,0.0468036728292226,-0.4155083066394698,-0.2320412804605254,4.589640714157288e-12,322,1.0603652684432355e-11
BAI11,0.3131749513436503,0.04570201005503705,0.22360065761469028,0.40274924507261034,7.254898768982375e-12,322,1.6202607250727302e-11
HAMD2,0.28875267194869725,0.04295377194873554,0.20456482592902875,0.37294051796836575,1.787486908402514e-11,322,3.8632781568699495e-11
BHOL18,0.30188286906329076,0.04555406639944919,0.21259853957102412,0.39116719855555737,3.427777724878187e-11,322,7.176909611463704e-11
BAI6,0.33834956519769255,0.05164698074727215,0.23712334302280558,0.4395757873725795,5.707755523548397e-11,322,1.158847333568917e-10
PHQ4,0.2736465303927281,0.04199261567597783,0.19134251605117947,0.3559505447342768,7.194796557874993e-11,322,1.4177981452283073e-10
BHOL6,-0.2949817718866502,0.04541035330550312,-0.38398442889067574,-0.2059791148826247,8.253052849681692e-11,322,1.579870116939067e-10
BHOL20,0.3277178098576587,0.05051055894271097,0.22871893349095765,0.42671668622435976,8.692269880380126e-11,322,1.6177280055151902e-10
BAI2,0.27811988854875824,0.045742566645890846,0.18846610536238906,0.3677736717351274,1.2009928112025086e-09,322,2.1747707662315693e-09
BHOL9,0.25379386919144203,0.0435086985177404,0.16851838708245961,0.3390693513004245,5.438235247167607e-09,322,9.58846740947973e-09
BHOL8,-0.24398160984326525,0.042753655902011,-0.32777723561862515,-0.16018598406790535,1.1519827364711078e-08,322,1.9790472652195956e-08
BAI1,0.25655706665619094,0.0457237190655432,0.16694022404849884,0.34617390926388303,2.0112824800883826e-08,322,3.368898154148041e-08
HAMD1,0.23204106542502323,0.04173241739118044,0.15024703035051656,0.3138351004995299,2.6944797995470457e-08,322,4.4031743065768794e-08
BHOL3,-0.24412657236972374,0.04451443356926293,-0.33137325895767983,-0.15687988578176765,4.153174499399377e-08,322,6.625302177613292e-08
BAI9,0.2597037507237075,0.04799985168143283,0.1656257701648348,0.35378173128258017,6.284497829122453e-08,322,9.792124524446613e-08
PHQ3,0.22860545826451004,0.04234487688945406,0.1456110246313976,0.3115998918976225,6.714166625701773e-08,322,1.0223844634591336e-07
BAI21,0.25516203063169124,0.047998249256275334,0.16108719076841516,0.3492368704949673,1.0603264325302772e-07,322,1.5787082439895235e-07
BHOL10,-0.23055308130587315,0.04568714361316838,-0.3200982373441923,-0.14100792526755399,4.5034229696352233e-07,322,6.559333455773043e-07
BHOL4,0.227576072747263,0.04572023059195518,0.13796606742216444,0.31718607807236154,6.438441152147702e-07,322,9.178203344550979e-07
BHOL16,0.22600430096852803,0.045960269230801994,0.1359238285563917,0.3160847733806643,8.770831580087386e-07,322,1.2242619080538643e-06
HAMD10,0.19372443866020395,0.039484220973704624,0.11633678759412186,0.27111208972628603,9.277454176068203e-07,322,1.268549856727693e-06
BAI20,0.23396384646732943,0.0487544180854853,0.13840694293257,0.32952075000208886,1.5960037326157976e-06,322,2.1263456391302283e-06
BAI18,0.20830333807923157,0.043432620445890774,0.12317696625108766,0.2934297099073755,1.6185616059050992e-06,322,2.1263456391302283e-06
PHQ5,0.2020851836810024,0.04243620473781384,0.11891175075431926,0.28525861660768553,1.915946681185716e-06,322,2.4686236084508266e-06
HAMD11,0.19823291680286104,0.04333113784867563,0.1133054472103164,0.28316038639540564,4.765896239498801e-06,322,6.024812227290937e-06
PHQ8,0.21057480973213008,0.046634523759100974,0.11917282272811472,0.3019767967361454,6.318917087688148e-06,322,7.840137868057517e-06
HAMD9,0.15225769084154028,0.03812168855342234,0.07754055424697967,0.2269748274361009,6.497025980553074e-05,322,7.914558921764653e-05
HAMD7,0.1573873814047978,0.04026014366857761,0.07847894980197741,0.2362958130076182,9.257916501125089e-05,322,0.00011076435813846089
BHOL15,-0.168370861603421,0.04696011606032543,-0.2604109977914798,-0.07633072541536218,0.0003365602626371357,322,0.0003956059227489139
HAMD4,0.14676057039661447,0.04155941832742049,0.06530560725643646,0.22821553353679247,0.00041345487185984474,322,0.00047761166232085513
HAMD14,0.11257432845149459,0.038789104078861415,0.036549081464350514,0.18859957543863867,0.0037053387449581306,322,0.004207757557833809
HAMD5,0.08129157109190671,0.03978422245613057,0.0033159279249611456,0.15926721425885226,0.04102158249570373,322,0.04580743378686916
HAMD6,0.06328896133125608,0.03986373797898521,-0.014842529396696447,0.1414204520592086,0.11236949106752926,322,0.12342222789384362
HAMD13,0.04547533948935959,0.04373994090912208,-0.04025336937842983,0.13120404835714902,0.29849074471570225,322,0.32256257896696855
HAMD12,0.03811470624996491,0.03823464927522621,-0.03682382929099895,0.11305324179092877,0.3188310251768708,322,0.33907426487064035
HAMD17,-0.03142933352803944,0.056512285224041586,-0.142191377251216,0.07933271019513713,0.5781080009853481,322,0.6052068135315363
HAMD15,-0.016006743772738263,0.04282874850649685,-0.09994954834839573,0.0679360608029192,0.7085990255718264,322,0.730402072512498
HAMD16,-0.002837798917720633,0.03634467909265996,-0.07407206096900006,0.06839646313355878,0.9377642767979704,322,0.9409941169837878
HAMD8,0.003259305778850886,0.04403250711174973,-0.08304282230918238,0.08956143386688416,0.9409941169837878,322,0.9409941169837878
