item,coef,SE,CI_lo,CI_hi,p,n,q_fdr
PHQ4,0.2621354819495343,0.05837937381024781,0.14771401184144772,0.37655695205762085,7.115393916917012e-06,322,7.115393916917011e-05
PHQ8,0.24168981424196237,0.06050708618251278,0.12309810451477618,0.3602815239691486,6.48568892373764e-05,322,0.000324284446186882
BHOL13,-0.19908454785122828,0.06184992213521476,-0.32030816768285586,-0.07786092801960068,0.0012871358700329944,322,0.003942041476663446
BAI10,0.2015870496243959,0.06379010808600007,0.07656073520591847,0.32661336404287333,0.0015768165906653784,322,0.003942041476663446
BHOL18,0.19115521342678185,0.06183291744368738,0.06996492217811612,0.3123455046754476,0.0019916155240475224,322,0.003983231048095045
BHOL8,-0.1761377096938032,0.05996187805017878,-0.29366083111753644,-0.05861458827007,0.003308756367119176,322,0.005514593945198627
BAI3,0.15557586169589616,0.057439621384935274,0.042996272495806315,0.268155450895986,0.006758581725751512,322,0.009655116751073589
BAI16,0.12931354492560562,0.05997615749315264,0.011762436307924354,0.2468646535432869,0.031077221988544512,322,0.03884652748568064
HAMD12,0.049680638652192376,0.05403445551244845,-0.05622494807643837,0.15558622538082312,0.3578732270640044,322,0.39763691896000486
HAMD16,-0.004133110460828651,0.05162000321524272,-0.10530645764454616,0.09704023672288886,0.9361831726426851,322,0.9361831726426851
