item,coef_SSI,q_SSI,p_SSI,coef_liwc,q_liwc,p_liwc,coef_F0,q_F0,p_F0,sig_SSI,sig_liwc,sig_F0,n_sig
BAI10,0.37571848407584146,4.0300122477548853e-16,4.3076005119533184e-17,0.2015870496243959,0.003942041476663446,0.0015768165906653784,,,,True,True,False,2
BHOL7,0.3430290464126573,1.1619269345070584e-13,3.121594749421948e-14,,,,0.09359452567467615,0.03831508354335649,0.012771694514452163,True,False,True,2
BAI3,0.3055942446853461,3.3497950960440623e-13,9.999388346400185e-14,0.15557586169589616,0.009655116751073589,0.006758581725751512,,,,True,True,False,2
BHOL13,-0.3496411396333156,6.919568042898379e-13,2.1688198343412831e-13,-0.19908454785122828,0.003942041476663446,0.0012871358700329944,,,,True,True,False,2
BAI16,0.30926223708448375,9.938871856694664e-13,3.2635101618997405e-13,0.12931354492560562,0.03884652748568064,0.031077221988544512,,,,True,True,False,2
BHOL18,0.30188286906329076,7.176909611463704e-11,3.427777724878187e-11,0.19115521342678185,0.003983231048095045,0.0019916155240475224,,,,True,True,False,2
PHQ4,0.2736465303927281,1.4177981452283073e-10,7.194796557874993e-11,0.2621354819495343,7.115393916917011e-05,7.115393916917012e-06,,,,True,True,False,2
BHOL8,-0.24398160984326525,1.9790472652195956e-08,1.1519827364711078e-08,-0.1761377096938032,0.005514593945198627,0.003308756367119176,,,,True,True,False,2
PHQ8,0.21057480973213008,7.840137868057517e-06,6.318917087688148e-06,0.24168981424196237,0.000324284446186882,6.48568892373764e-05,,,,True,True,False,2
PHQ9,0.4412560808709736,3.963365674446225e-26,5.915471155889888e-28,,,,,,,True,False,False,1
HAMD3,0.41846768034144644,3.5751877282054815e-22,1.0672202173747706e-23,,,,,,,True,False,False,1
PHQ6,0.41519873527212836,2.8282822678255195e-21,1.2663950452950087e-22,,,,,,,True,False,False,1
BAI5,0.37943990707907427,1.7458884143336168e-18,1.042321441393204e-19,,,,,,,True,False,False,1
BHOL12,0.35458003722447345,3.1297290028276833e-16,2.335618658826629e-17,,,,,,,True,False,False,1
BAI8,0.3716410023017794,3.814788580862764e-16,3.416228579877102e-17,,,,,,,True,False,False,1
BAI4,0.3383062200241382,4.0300122477548853e-16,4.8119549226924005e-17,,,,,,,True,False,False,1
BHOL2,0.3655944734591154,6.193902237701654e-16,8.320167184972371e-17,,,,,,,True,False,False,1
PHQ7,0.33993340574567726,7.820892450554525e-16,1.1672973806797798e-16,,,,,,,True,False,False,1
BAI19,0.346680907654574,9.347658469977176e-16,1.534690196563417e-16,,,,,,,True,False,False,1
BAI7,0.3939749445029424,7.154181308577491e-15,1.2813459060138789e-15,,,,,,,True,False,False,1
PHQ2,0.33513477013492826,8.624784336076976e-15,1.6734656174477714e-15,,,,,,,True,False,False,1
BHOL17,0.33535373465100293,9.356140184723538e-15,1.955014366957157e-15,,,,,,,True,False,False,1
PHQ1,0.3206764001623072,1.0525554539768846e-14,2.3564674342766073e-15,,,,,,,True,False,False,1
BHOL14,0.3308315174002244,1.1504192414162888e-14,2.7472698302478536e-15,,,,,,,True,False,False,1
BAI12,0.3597853075802423,1.6801391460051156e-14,4.263039624192085e-15,,,,,,,True,False,False,1
BAI14,0.343268871773701,2.9278512701705344e-13,8.302861810931365e-14,,,,,,,True,False,False,1
BAI13,0.3281069568309193,1.5756159842264725e-12,5.408830990628189e-13,,,,,,,True,False,False,1
BHOL11,0.30899919078849813,3.5791420971639176e-12,1.2820807512228958e-12,,,,,,,True,False,False,1
BHOL1,-0.31933976267596786,3.6128441510509973e-12,1.3480761757652976e-12,,,,,,,True,False,False,1
BAI15,0.31449779011532264,6.2464388900700485e-12,2.423991211071959e-12,,,,0.052369936494445254,0.1618174978035486,0.1618174978035486,True,False,False,1
BHOL5,-0.3000029276852665,6.795506986540815e-12,2.7384878900985374e-12,,,,,,,True,False,False,1
BAI17,0.3138864806381317,7.854673966773164e-12,3.2825503144723667e-12,,,,,,,True,False,False,1
BHOL19,-0.3237747935499976,1.0603652684432355e-11,4.589640714157288e-12,,,,,,,True,False,False,1
BAI11,0.3131749513436503,1.6202607250727302e-11,7.254898768982375e-12,,,,,,,True,False,False,1
HAMD2,0.28875267194869725,3.8632781568699495e-11,1.787486908402514e-11,,,,,,,True,False,False,1
BAI6,0.33834956519769255,1.158847333568917e-10,5.707755523548397e-11,,,,,,,True,False,False,1
BHOL6,-0.2949817718866502,1.579870116939067e-10,8.253052849681692e-11,,,,,,,True,False,False,1
