feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr,p_bonferroni
error_m,-1.1075928982767023,0.36956699581499786,-1.831930899948763,-0.3832548966046416,0.0027264923268395607,348,104,0.20287973039562981,0.24811080174240002
F0final_sma_qregc3,1.4892322832133107,0.5456686518848496,0.41974137802648115,2.5587231884001405,0.006349051557566352,348,104,0.20287973039562981,0.577763691738538
F0final_sma_upleveltime50,0.971609256466618,0.37060670844904886,0.24523345547754605,1.69798505745569,0.008749957941296937,348,104,0.20287973039562981,0.7962461726580213
F0final_sma_linregc2,1.4142462764919612,0.5527557087569563,0.33086499507941536,2.497627557904507,0.010511344571786083,348,104,0.20287973039562981,0.9565323560325335
F0final_sma_upleveltime25,1.4298939917336089,0.5633831333171676,0.32568334093463247,2.5341046425325855,0.011147237933825814,348,104,0.20287973039562981,1.0
mean_p,-0.9571881442230951,0.4076232402281896,-1.7561150143318651,-0.158261274114325,0.018863487859489814,348,104,0.2860962325355955,1.0
mean_m,-0.8425909386764968,0.3909272669837746,-1.6087943025393692,-0.07638757481362446,0.03113328500829582,348,104,0.3947350581617801,1.0
F0final_sma_upleveltime75,0.7908392916472083,0.37480093949723475,0.05624294886085235,1.5254356344335642,0.03485621651379348,348,104,0.3947350581617801,1.0
F0final_sma_qregerrQ,0.8431432058691708,0.41486272053387624,0.03002721509446782,1.6562591966438738,0.04211897836459389,348,104,0.3947350581617801,1.0
F0final_sma_linregerrQ,0.838085156250057,0.41488194155639596,0.024931492963469304,1.6512388195366445,0.04337747891887694,348,104,0.3947350581617801,1.0
F0final_sma_qregc1,0.6066800360651274,0.31052016899326246,-0.001928311634958213,1.215288383765213,0.05073031146961456,348,104,0.41967803124862957,1.0
change_p,0.8469007238236234,0.44636559050419417,-0.027959757502551197,1.721761205149798,0.057785019064652325,348,104,0.43820306124028013,1.0
F0final_sma_maxPos,0.6127017902607333,0.3381143341829524,-0.04999012739459341,1.2753937079160602,0.06996855084637173,348,104,0.4662082059165389,1.0
F0final_sma_quartile3,1.1686458565082143,0.6501619559177767,-0.10564816120874632,2.442939874225175,0.07226122066594942,348,104,0.4662082059165389,1.0
F0final_sma_kurtosis,-0.7820344279798123,0.4450762541237768,-1.6543678564364117,0.09029900047678707,0.07890423416465611,348,104,0.4662082059165389,1.0
F0final_sma_quartile2,1.2291707465333261,0.7066780809940547,-0.15589284087890043,2.6142343339455527,0.08197067356774311,348,104,0.4662082059165389,1.0
F0final_sma_skewness,-0.8848662452122675,0.5303634560018694,-1.924359517692125,0.15462702726759003,0.09523341010727848,348,104,0.5097788423389613,1.0
mean_z,-0.595264255701008,0.3699682872885803,-1.3203887742085931,0.12986026280657714,0.10762504095931762,348,104,0.5225808086172804,1.0
F0final_sma_qregc2,-0.524515236376709,0.32737085916381187,-1.1661503299257148,0.11711985717229656,0.10911027872228932,348,104,0.5225808086172804,1.0
F0final_sma_lpc2,-0.5508252971570656,0.3630414493955103,-1.2623734628674863,0.16072286855335516,0.12920311932192674,348,104,0.5878741929147667,1.0
F0final_sma_iqr1-2,0.5619730807494586,0.4074442323443238,-0.23660294035398588,1.3605491018529032,0.16781343302889462,348,104,0.696280296038872,1.0
F0final_sma_rqmean,0.8952338954566077,0.6558811107146967,-0.39026945968432547,2.1807372505975406,0.1722740500329446,348,104,0.696280296038872,1.0
error_p,0.5662139822039013,0.4265538562234524,-0.2698162134607418,1.4022441778685444,0.1843714442213793,348,104,0.696280296038872,1.0
F0final_sma_posamean,0.8702172548046282,0.665922368259654,-0.4349666034839125,2.175401113093169,0.19128579561507475,348,104,0.696280296038872,1.0
F0final_sma_amean,0.8702172548046282,0.665922368259654,-0.4349666034839125,2.175401113093169,0.19128579561507475,348,104,0.696280296038872,1.0
F0final_sma_risetime,0.610242346844526,0.48788934591489425,-0.3460031995894708,1.566487893278523,0.21101467079939418,348,104,0.7385513477978797,1.0
F0final_sma_ff0_maxSegLen,-0.4776768589513604,0.39475261102005565,-1.2513777593538187,0.2960240414510979,0.22625342650414193,348,104,0.7625578448843302,1.0
F0final_sma_iqr1-3,0.55991505656826,0.47239728715292206,-0.36596661264589314,1.4857967257824132,0.2359134519694136,348,104,0.7667187189005942,1.0
F0final_sma_range,-0.4023711451926671,0.3758336140537371,-1.1389914929175184,0.3342492025321843,0.28434492136355005,348,104,0.8908075084908501,1.0
F0final_sma_quartile1,0.6917183419729668,0.658717547511465,-0.5993443271340567,1.9827810110799904,0.29367280499698356,348,104,0.8908075084908501,1.0
F0final_sma_de_qregc2,-0.3411615304330946,0.3427889175162443,-1.0130154630644048,0.3306924021982155,0.3196134689060025,348,104,0.9257678730465521,1.0
F0final_sma_de_linregc1,-0.3378680090915343,0.343939724746472,-1.011977482447239,0.3362414642641704,0.3259291387660723,348,104,0.9257678730465521,1.0
F0final_sma_ff0_segLenStddev,-0.4058536626250908,0.4351058536463448,-1.2586454652344825,0.44693813998430076,0.3509387628819475,348,104,0.9257678730465521,1.0
F0final_sma_lpc0,0.41754608229052104,0.45023175856401393,-0.46489194919107935,1.2999841137721213,0.3537175656688235,348,104,0.9257678730465521,1.0
F0final_sma_de_centroid,-0.3043123780340586,0.3297385383118567,-0.9505880374401785,0.3419632813720613,0.3560645665563662,348,104,0.9257678730465521,1.0
F0final_sma_lpc3,0.29705466051435897,0.33047660445813626,-0.3506675819566772,0.9447769029853952,0.36872327111587033,348,104,0.9288325940969584,1.0
F0final_sma_de_lpc2,-0.2798689650520375,0.3205680636919118,-0.9081708244819269,0.34843289437785185,0.3826408969351648,348,104,0.9288325940969584,1.0
F0final_sma_de_flatness,-0.29185076486139977,0.33798692809395936,-0.9542929711708892,0.3705914414480896,0.38786416017235625,348,104,0.9288325940969584,1.0
F0final_sma_flatness,-0.4307880763925611,0.5277946307731415,-1.465246543941534,0.6036703911564119,0.4143834829100279,348,104,0.9333898539329833,1.0
F0final_sma_stddev,0.40836875538215944,0.5113081710607109,-0.5937768448978792,1.410514355662198,0.42447922476417654,348,104,0.9333898539329833,1.0
F0final_sma_de_qregc1,0.2540254422871477,0.33444040104103084,-0.4014656987284048,0.9095165833027001,0.4475214067583265,348,104,0.9333898539329833,1.0
F0final_sma_de_kurtosis,0.26582147261259564,0.35870048747957745,-0.43721856408433674,0.9688615093095281,0.45865217755974486,348,104,0.9333898539329833,1.0
F0final_sma_lpc1,-0.3097647716845905,0.42993698557288346,-1.152425779029159,0.5328962356599779,0.4712241090588466,348,104,0.9333898539329833,1.0
F0final_sma_de_lpc3,0.2355305118653834,0.3312238032665965,-0.41365621335952607,0.8847172370902929,0.4770273858252869,348,104,0.9333898539329833,1.0
F0final_sma_de_maxPos,-0.22932572819749467,0.32619967796795124,-0.8686653487832429,0.4100138923882536,0.4820416988644991,348,104,0.9333898539329833,1.0
F0final_sma_de_lpgain,0.21950283496309037,0.319991336911459,-0.4076686607481917,0.8466743306743725,0.4927352238058448,348,104,0.9333898539329833,1.0
F0final_sma_ff0_meanSegLen,-0.30213898625940583,0.44983437383039876,-1.1837981579751145,0.5795201854563028,0.501795598362572,348,104,0.9333898539329833,1.0
F0final_sma_percentile1.0,0.2837476757840283,0.4256942798244909,-0.5505977810966896,1.118093132664746,0.505057884415905,348,104,0.9333898539329833,1.0
change_m,0.2732023054944839,0.41465925760771505,-0.539514905272754,1.085919516261722,0.5099858179355385,348,104,0.9333898539329833,1.0
F0final_sma_centroid,-0.21047228609410204,0.3216243958102372,-0.8408445184316221,0.419899946243418,0.5128515680950458,348,104,0.9333898539329833,1.0
F0final_sma_linregc1,0.20079457469552284,0.3270569057323153,-0.4402251814349266,0.8418143308259723,0.539252434692238,348,104,0.951474482478553,1.0
delay_p,-0.21464816721955862,0.35584673330124605,-0.9120949485062307,0.48279861406711355,0.5463729976766051,348,104,0.951474482478553,1.0
F0final_sma_upleveltime90,0.22757994175915777,0.3859208380967452,-0.5288110017939761,0.9839708853122916,0.555387584295149,348,104,0.951474482478553,1.0
F0final_sma_pctlrange0-1,-0.28300353671906114,0.4977067839735269,-1.2584909081684308,0.6924838347303086,0.5696174515558097,348,104,0.951474482478553,1.0
F0final_sma_de_qregerrQ,-0.20761192012494725,0.3867555951601798,-0.9656389574582533,0.5504151172083589,0.5914030626397582,348,104,0.951474482478553,1.0
F0final_sma_de_linregerrQ,-0.20608732071679195,0.38664364740079055,-0.9638949444735451,0.5517203030399612,0.5940223787039408,348,104,0.951474482478553,1.0
F0final_sma_de_lpc0,-0.1772571354567339,0.3365090675118845,-0.836802788251185,0.48228851733771716,0.598365177617928,348,104,0.951474482478553,1.0
F0final_sma_de_lpc1,0.16967250604599898,0.3293525086119348,-0.47584654905131124,0.8151915611433092,0.606434285535781,348,104,0.951474482478553,1.0
F0final_sma_lpgain,0.23014251293789897,0.5035856059432444,-0.7568671378436399,1.2171521637194378,0.6476654918509552,348,104,0.9609111976472959,1.0
F0final_sma_percentile99.0,-0.21990862246635595,0.4938581639899012,-1.187852837357638,0.7480355924249262,0.6561123581275972,348,104,0.9609111976472959,1.0
F0final_sma_iqr2-3,0.21621148224492676,0.515549188098331,-0.7942463586866677,1.2266693231765213,0.6749377810738226,348,104,0.9609111976472959,1.0
F0final_sma_de_upleveltime50,0.13949874412595478,0.34613113559446274,-0.5389058155671421,0.8179033038190516,0.6869314416940988,348,104,0.9609111976472959,1.0
F0final_sma_de_upleveltime90,-0.1320237061436976,0.3348286788841862,-0.7882758577478295,0.5242284454604342,0.6933578919623249,348,104,0.9609111976472959,1.0
F0final_sma_de_quartile2,0.1443865820665478,0.39420763807205683,-0.6282461909852841,0.9170193551183798,0.714163328291083,348,104,0.9609111976472959,1.0
F0final_sma_de_upleveltime25,0.12112425061546837,0.3308900854608792,-0.5274083997292355,0.7696569009601723,0.7143234030219956,348,104,0.9609111976472959,1.0
F0final_sma_de_iqr2-3,-0.13584822938483346,0.3976755916934587,-0.9152780666346683,0.6435816078650014,0.7326476839080476,348,104,0.9609111976472959,1.0
F0final_sma_ff0_nnz,-0.17600786961006026,0.5256399053576316,-1.2062431529480608,0.8542274137279404,0.7377420480762036,348,104,0.9609111976472959,1.0
F0final_sma_de_rqmean,0.10910360398138233,0.3294582206202756,-0.5366226428450093,0.7548298508077739,0.7405231289403469,348,104,0.9609111976472959,1.0
F0final_sma_de_stddev,0.10909662566320284,0.32945769321923996,-0.5366285874761534,0.7548218388025592,0.7405387270066237,348,104,0.9609111976472959,1.0
F0final_sma_de_minPos,-0.10787686165782878,0.3395332984437636,-0.7733498981596951,0.5575961748440375,0.7506965746264657,348,104,0.9609111976472959,1.0
