feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr,p_bonferroni
liwc_death,2.445518281290974,0.3604512937400008,1.7390467273797046,3.1519898352022433,1.1640761108019642e-11,348,104,1.2222799163420623e-09,1.2222799163420625e-09
liwc_focus_present,-1.2108855668795395,0.374001695408454,-1.9439154200370288,-0.4778557137220504,0.001205197192421069,348,104,0.06327285260210612,0.12654570520421224
liwc_emotional_tone,-1.1083550334051957,0.3717757050918297,-1.8370220257121663,-0.37968804109822507,0.0028707757882193005,348,104,0.10047715258767552,0.30143145776302654
liwc_they,0.9913298758556943,0.3460397150728079,0.3131044970924888,1.6695552546188999,0.0041729059033153455,348,104,0.1030251069570538,0.4381551198481113
liwc_inaction,-0.9816086990716196,0.34893644543602764,-1.6655115650196595,-0.2977058331235797,0.004905957474145419,348,104,0.1030251069570538,0.515125534785269
liwc_avoidance,1.034465383493599,0.3926307133649789,0.2649233260739712,1.804007440913227,0.008421089059037356,348,104,0.11850640120720476,0.8842143511989224
liwc_achievement,-0.9574416474573114,0.36389671224927883,-1.6706660975584335,-0.2442171973561894,0.008511380121582323,348,104,0.11850640120720476,0.8936949127661439
liwc_social_processes,1.1041713646782818,0.4228999252725325,0.27530274207943795,1.9330399872771258,0.009029059139596554,348,104,0.11850640120720476,0.9480512096576381
liwc_adjectives,-0.8406933395460993,0.33140205141866785,-1.4902294247293795,-0.19115725436281916,0.0111877965561637,348,104,0.13052429315524317,1.0
liwc_quantifiers,-0.9351162734968481,0.3895278780885064,-1.6985768855246297,-0.17165566146906663,0.01636642102114965,348,104,0.15430416738008262,1.0
liwc_apostrophes,-0.844796035674141,0.35336686850697074,-1.5373823712775048,-0.15220970007077728,0.016816045883654783,348,104,0.15430416738008262,1.0
liwc_dashes,0.7967349139189297,0.33572192152379726,0.1387320389117047,1.4547377889261548,0.017634761986295155,348,104,0.15430416738008262,1.0
liwc_health,0.8722892709528707,0.38442978880691603,0.11882073030697604,1.6257578115987652,0.02326546597806111,348,104,0.1772280656416704,1.0
liwc_focus_past,0.8657133383800852,0.3883806706348355,0.10450121164429471,1.6269254651158758,0.025811707982559506,348,104,0.1772280656416704,1.0
liwc_positive_emotion_words,-0.8073683066590622,0.36828460941149876,-1.5291928771660008,-0.08554373615212363,0.02836217091414199,348,104,0.1772280656416704,1.0
liwc_absolutist,0.8158307939789003,0.3726832887431934,0.08538497040229953,1.5462766175555012,0.028591560141624135,348,104,0.1772280656416704,1.0
liwc_discrepancies,0.7918515571796619,0.36196210461123535,0.08241886837332124,1.5012842459860027,0.02869406777055616,348,104,0.1772280656416704,1.0
liwc_other_grammar,-0.7326886757254844,0.3602418834126396,-1.4387497929371351,-0.026627558513833693,0.04196372003042415,348,104,0.24478836684414088,1.0
liwc_authentic,-0.7725968222282433,0.38899342662323333,-1.5350099286326049,-0.010183715823881778,0.04701737623987965,348,104,0.25983286869407174,1.0
liwc_work,-0.6961673807922678,0.35678506768122364,-1.3954532636691517,0.0031185020846161704,0.0510304738929363,348,104,0.25988716311875265,1.0
liwc_family,0.8071862910398664,0.4153644469154107,-0.006913065372737726,1.6212856474524706,0.051977432623750534,348,104,0.25988716311875265,1.0
liwc_netspeak,0.6115451047574381,0.3218770947583685,-0.019322408417350445,1.2424126179322266,0.05744183504015255,348,104,0.27415421269163714,1.0
liwc_dictionary_words,-0.6204611742837783,0.34526381647098503,-1.2971658197317562,0.05624347116419948,0.0723254604190987,348,104,0.3227584884689904,1.0
liwc_certainty,0.6222245495257982,0.3479971236778313,-0.059837279606282046,1.3042863786578784,0.07377336879291209,348,104,0.3227584884689904,1.0
liwc_numbers,0.6469663518790878,0.37672029336148055,-0.09139185535477767,1.3853245591129533,0.0859124514260909,348,104,0.3608322959895818,1.0
liwc_time_orientation,-0.6105146247046599,0.3716406113408967,-1.3389168381252654,0.11788758871594562,0.10043354937957734,348,104,0.4055970263406008,1.0
liwc_six_plus_words,0.5914109415132996,0.3701990938050585,-0.13416594945398008,1.3169878324805793,0.11014353509241932,348,104,0.42833596980385297,1.0
liwc_comparisons,-0.5390143494694621,0.3546622249290745,-1.2341395370072918,0.15611083806836767,0.1285621706375659,348,104,0.440436515435786,1.0
liwc_reward,-0.5241632303148286,0.34712516916361924,-1.204516060002896,0.15618959937323884,0.1310403185694495,348,104,0.440436515435786,1.0
liwc_periods,0.6537950272873919,0.43365255069077707,-0.19614835387046126,1.503738408445245,0.13164486133521835,348,104,0.440436515435786,1.0
liwc_leisure,-0.5420822583800278,0.36542667607339935,-1.258305382474075,0.17414086571401965,0.13796211683162926,348,104,0.440436515435786,1.0
liwc_relativity,-0.5681675057575495,0.38429897470839225,-1.3213796554816675,0.1850446439665684,0.13928689286915633,348,104,0.440436515435786,1.0
liwc_negations,0.5693038211970353,0.3880818259230112,-0.19132258066660945,1.32993022306068,0.14238461954211615,348,104,0.440436515435786,1.0
liwc_approach,0.5327272164840458,0.36523433110034087,-0.18311891839019967,1.2485733513582913,0.14467793217688796,348,104,0.440436515435786,1.0
liwc_clout,0.5963606829052778,0.4110326494287904,-0.20924850644522952,1.4019698722557852,0.14681217181192865,348,104,0.440436515435786,1.0
liwc_female,0.6066832520366108,0.423919512959228,-0.22418372570723677,1.4375502297804583,0.1523934207617993,348,104,0.4444808105552479,1.0
liwc_impersonal_pronouns,-0.5668752156554323,0.40455319021219116,-1.359784898302109,0.2260344669912443,0.16114297909188302,348,104,0.4572976433688572,1.0
