feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr
F0final_sma_kurtosis,-0.11200263886532409,0.04897370447446381,-0.20798933582478124,-0.01601594190586693,0.022196089194713695,348,104,0.5909256232751354
F0final_sma_de_quartile2,0.09942003048560141,0.04637713432304482,0.008522517506257182,0.19031754346494564,0.03205456790071859,348,104,0.5909256232751354
F0final_sma_qregc3,0.12069666266623419,0.061003992663138724,0.0011310341333365947,0.24026229119913178,0.04787184238158448,348,104,0.5909256232751354
F0final_sma_iqr1-3,0.09569938414492585,0.04936276787509074,-0.0010498630674627696,0.19244863135731446,0.05253840670298467,348,104,0.5909256232751354
F0final_sma_de_quartile1,0.08868776066034238,0.0457483550475409,-0.000977367584788974,0.17835288890547374,0.05255006471932514,348,104,0.5909256232751354
F0final_sma_de_iqr1-2,-0.08228023178566216,0.045770575197687874,-0.17198891072481265,0.007428447153488338,0.07222986602490668,348,104,0.5909256232751354
F0final_sma_de_iqr1-3,-0.0814445773093057,0.04575623974733736,-0.17112515928206704,0.008236004663455643,0.07508143118480508,348,104,0.5909256232751354
F0final_sma_de_percentile1.0,0.07867079283865464,0.0443896320468245,-0.008331287260106388,0.16567287293741567,0.07634832961986736,348,104,0.5909256232751354
F0final_sma_iqr1-2,0.08737094989400271,0.04930141978441671,-0.009258057270144518,0.18399995705814992,0.07636481783804623,348,104,0.5909256232751354
F0final_sma_linregc2,0.10763311331535957,0.062197735416031144,-0.014272208020012861,0.229538434650732,0.08354117588574272,348,104,0.5909256232751354
F0final_sma_de_iqr2-3,-0.07869940788959985,0.0458979325614175,-0.16865770267482638,0.01125888689562668,0.08640734607940571,348,104,0.5909256232751354
F0final_sma_de_pctlrange0-1,-0.07370416889590915,0.04453617646455206,-0.1609934707755516,0.013585132983733275,0.09793908803001129,348,104,0.5909256232751354
F0final_sma_qregc1,0.05843179774546755,0.03568209901110609,-0.011503831209092659,0.12836742670002776,0.10151222774450701,348,104,0.5909256232751354
F0final_sma_qregerrQ,0.07248547139169972,0.044992003360027795,-0.015697234786259853,0.1606681775696593,0.10716347548397641,348,104,0.5909256232751354
F0final_sma_linregerrQ,0.07122074022904273,0.04495297035436705,-0.016885462663613432,0.1593269431216989,0.11311661484815462,348,104,0.5909256232751354
F0final_sma_risetime,0.08250029618055783,0.052865457765795515,-0.02111409706662469,0.18611468942774034,0.11862502400364049,348,104,0.5909256232751354
F0final_sma_de_percentile99.0,-0.06850780981446111,0.044360928572785445,-0.1554536321378744,0.018438012508952176,0.12250897067899148,348,104,0.5909256232751354
F0final_sma_upleveltime50,0.06317396532696788,0.043871209927894055,-0.02281202608990053,0.1491599567438363,0.14987111990589042,348,104,0.6090107500528307
F0final_sma_iqr2-3,0.07771850831931831,0.055673316250706865,-0.03139918643197566,0.18683620307061227,0.16272229048865727,348,104,0.6090107500528307
F0final_sma_de_qregerrQ,-0.059430764637568585,0.043113994071951524,-0.14393264024826696,0.0250711109731298,0.1680623947355847,348,104,0.6090107500528307
F0final_sma_de_linregerrQ,-0.05901285015936938,0.04312090676329896,-0.14352827439614496,0.025502574077406213,0.1711419176707094,348,104,0.6090107500528307
