feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr
liwc_death,0.2879084905000298,0.042698338839617204,0.20422128417469232,0.3715956968253673,1.5530961864882496e-11,348,104,1.630750995812662e-09
liwc_inaction,-0.12407633900917982,0.03701899943423308,-0.19663224464398527,-0.051520433374374355,0.000803188933712062,348,104,0.04216741901988325
liwc_focus_present,-0.12713984125525782,0.03978714783286871,-0.20512121805525135,-0.049158464455264284,0.0013958865705905785,348,104,0.04885602997067025
liwc_they,0.12002934563597581,0.03925867329967192,0.0430837598877946,0.196974931384157,0.0022326843979859332,348,104,0.05860796544713074
liwc_avoidance,0.12057505570431898,0.042040522053025914,0.0381771465891263,0.20297296481951166,0.004129873911589056,348,104,0.08672735214337018
liwc_quantifiers,-0.11226008520788344,0.0409164198086891,-0.19245479440923532,-0.03206537600653156,0.006076141259379958,348,104,0.09528618978963446
liwc_emotional_tone,-0.10698995518912678,0.039204628306819075,-0.1838296146977717,-0.030150295680481873,0.006352412652642297,348,104,0.09528618978963446
liwc_social_processes,0.11991541902829578,0.04497751087458425,0.03176111759985202,0.20806972045673955,0.007673241130919071,348,104,0.09559948973229772
liwc_adjectives,-0.09262518173121562,0.035032751409188996,-0.16128811277257088,-0.023962250689860354,0.00819424197705409,348,104,0.09559948973229772
liwc_absolutist,0.1042742157466319,0.040493531481631775,0.02490835243579477,0.18364007905746904,0.010021595443881435,348,104,0.09920433813072797
liwc_achievement,-0.09812237612210982,0.03839774695919098,-0.1733805772496065,-0.02286417499461313,0.010605969356550575,348,104,0.09920433813072797
liwc_health,0.10144975466458504,0.040065203751508766,0.022923398278368798,0.1799761110508013,0.011337638643511769,348,104,0.09920433813072797
liwc_authentic,-0.09671954788855648,0.0406081985337121,-0.1763101544916844,-0.017128941285428537,0.017229471887817933,348,104,0.12848951611540588
liwc_apostrophes,-0.08856944448610647,0.037513141236482715,-0.16209385025657694,-0.015045038715636005,0.018224527932289628,348,104,0.12848951611540588
liwc_family,0.10613998034604699,0.04519097041093034,0.01756730591420827,0.1947126547778857,0.018839136733741456,348,104,0.12848951611540588
liwc_numbers,0.09817547717775117,0.042057551961600784,0.015744190055091728,0.18060676430041062,0.019579354836633277,348,104,0.12848951611540588
liwc_discrepancies,0.08714706419553878,0.038517573443855084,0.011654007473706388,0.16264012091737118,0.023664839694142327,348,104,0.13779543177483256
liwc_dashes,0.08660647411105239,0.0384932313715146,0.011161126974316427,0.16205182124778836,0.02445438206045846,348,104,0.13779543177483256
liwc_focus_past,0.09237588817745365,0.0411947794426445,0.011635604118799436,0.17311617223610787,0.02493441146401732,348,104,0.13779543177483256
liwc_female,0.09858750932129094,0.04659232294137111,0.0072682344001442495,0.18990678424243762,0.034348177445898784,348,104,0.18032793159096863
liwc_work,-0.07951131923004022,0.038691852641434085,-0.15534595690238198,-0.003676681557698458,0.039880097988661066,348,104,0.1994004899433053
liwc_netspeak,0.07700898210035259,0.03851140648803584,0.0015280123898201853,0.15248995181088498,0.04553905814704814,348,104,0.21734550479272974
liwc_positive_emotion_words,-0.07583895462861907,0.03893155809074981,-0.15214340634851764,0.000465497091279507,0.05141410422215017,348,104,0.23471656275329425
liwc_dictionary_words,-0.06924621851146652,0.036899582369457964,-0.14156807100017327,0.0030756339772402413,0.06057121921452585,348,104,0.2649990840635506
liwc_certainty,0.06811492813008875,0.03715173501135521,-0.004701134455343231,0.14093099071552073,0.06673935913562759,348,104,0.2803053083696359
liwc_other_grammar,-0.0687811163939976,0.03807393336540744,-0.14340465453997409,0.0058424217519788685,0.07083799614358478,348,104,0.2860765228875539
liwc_clout,0.07381371526887368,0.043309168798379885,-0.011070695776316752,0.1586981263140641,0.08831686829018492,348,104,0.3386417278496488
liwc_she_he,0.07130770770145303,0.042313004563641614,-0.011624257320963477,0.15423967272386954,0.09194163895207672,348,104,0.3386417278496488
liwc_male,0.07173462643877722,0.042773889623992985,-0.01210065670294054,0.155569909580495,0.09352962007276015,348,104,0.3386417278496488
liwc_leisure,-0.061723571649112755,0.0386446627042379,-0.13746571874411728,0.014018575445891787,0.11021930841076526,348,104,0.3805207385543303
liwc_comparisons,-0.05959603879858568,0.03753504047393614,-0.13316336628575376,0.013971288688582391,0.1123442180493737,348,104,0.3805207385543303
