feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr,p_bonferroni,feature_type
error_m,-1.1075928982767023,0.36956699581499786,-1.831930899948763,-0.3832548966046416,0.0027264923268395607,348,104,0.20287973039562981,0.24811080174240002,F0
F0final_sma_qregc3,1.4892322832133107,0.5456686518848496,0.41974137802648115,2.5587231884001405,0.006349051557566352,348,104,0.20287973039562981,0.577763691738538,F0
F0final_sma_upleveltime50,0.971609256466618,0.37060670844904886,0.24523345547754605,1.69798505745569,0.008749957941296937,348,104,0.20287973039562981,0.7962461726580213,F0
F0final_sma_linregc2,1.4142462764919612,0.5527557087569563,0.33086499507941536,2.497627557904507,0.010511344571786083,348,104,0.20287973039562981,0.9565323560325335,F0
F0final_sma_upleveltime25,1.4298939917336089,0.5633831333171676,0.32568334093463247,2.5341046425325855,0.011147237933825814,348,104,0.20287973039562981,1.0,F0
mean_p,-0.9571881442230951,0.4076232402281896,-1.7561150143318651,-0.158261274114325,0.018863487859489814,348,104,0.2860962325355955,1.0,F0
mean_m,-0.8425909386764968,0.3909272669837746,-1.6087943025393692,-0.07638757481362446,0.03113328500829582,348,104,0.3947350581617801,1.0,F0
F0final_sma_upleveltime75,0.7908392916472083,0.37480093949723475,0.05624294886085235,1.5254356344335642,0.03485621651379348,348,104,0.3947350581617801,1.0,F0
F0final_sma_qregerrQ,0.8431432058691708,0.41486272053387624,0.03002721509446782,1.6562591966438738,0.04211897836459389,348,104,0.3947350581617801,1.0,F0
F0final_sma_linregerrQ,0.838085156250057,0.41488194155639596,0.024931492963469304,1.6512388195366445,0.04337747891887694,348,104,0.3947350581617801,1.0,F0
liwc_death,2.445518281290974,0.3604512937400008,1.7390467273797046,3.1519898352022433,1.1640761108019642e-11,348,104,1.2222799163420623e-09,1.2222799163420625e-09,LIWC
liwc_focus_present,-1.2108855668795395,0.374001695408454,-1.9439154200370288,-0.4778557137220504,0.001205197192421069,348,104,0.06327285260210612,0.12654570520421224,LIWC
liwc_emotional_tone,-1.1083550334051957,0.3717757050918297,-1.8370220257121663,-0.37968804109822507,0.0028707757882193005,348,104,0.10047715258767552,0.30143145776302654,LIWC
liwc_they,0.9913298758556943,0.3460397150728079,0.3131044970924888,1.6695552546188999,0.0041729059033153455,348,104,0.1030251069570538,0.4381551198481113,LIWC
liwc_inaction,-0.9816086990716196,0.34893644543602764,-1.6655115650196595,-0.2977058331235797,0.004905957474145419,348,104,0.1030251069570538,0.515125534785269,LIWC
liwc_avoidance,1.034465383493599,0.3926307133649789,0.2649233260739712,1.804007440913227,0.008421089059037356,348,104,0.11850640120720476,0.8842143511989224,LIWC
liwc_achievement,-0.9574416474573114,0.36389671224927883,-1.6706660975584335,-0.2442171973561894,0.008511380121582323,348,104,0.11850640120720476,0.8936949127661439,LIWC
liwc_social_processes,1.1041713646782818,0.4228999252725325,0.27530274207943795,1.9330399872771258,0.009029059139596554,348,104,0.11850640120720476,0.9480512096576381,LIWC
liwc_adjectives,-0.8406933395460993,0.33140205141866785,-1.4902294247293795,-0.19115725436281916,0.0111877965561637,348,104,0.13052429315524317,1.0,LIWC
liwc_quantifiers,-0.9351162734968481,0.3895278780885064,-1.6985768855246297,-0.17165566146906663,0.01636642102114965,348,104,0.15430416738008262,1.0,LIWC
liwc_apostrophes,-0.844796035674141,0.35336686850697074,-1.5373823712775048,-0.15220970007077728,0.016816045883654783,348,104,0.15430416738008262,1.0,LIWC
liwc_dashes,0.7967349139189297,0.33572192152379726,0.1387320389117047,1.4547377889261548,0.017634761986295155,348,104,0.15430416738008262,1.0,LIWC
liwc_health,0.8722892709528707,0.38442978880691603,0.11882073030697604,1.6257578115987652,0.02326546597806111,348,104,0.1772280656416704,1.0,LIWC
liwc_focus_past,0.8657133383800852,0.3883806706348355,0.10450121164429471,1.6269254651158758,0.025811707982559506,348,104,0.1772280656416704,1.0,LIWC
liwc_positive_emotion_words,-0.8073683066590622,0.36828460941149876,-1.5291928771660008,-0.08554373615212363,0.02836217091414199,348,104,0.1772280656416704,1.0,LIWC
liwc_absolutist,0.8158307939789003,0.3726832887431934,0.08538497040229953,1.5462766175555012,0.028591560141624135,348,104,0.1772280656416704,1.0,LIWC
liwc_discrepancies,0.7918515571796619,0.36196210461123535,0.08241886837332124,1.5012842459860027,0.02869406777055616,348,104,0.1772280656416704,1.0,LIWC
liwc_other_grammar,-0.7326886757254844,0.3602418834126396,-1.4387497929371351,-0.026627558513833693,0.04196372003042415,348,104,0.24478836684414088,1.0,LIWC
liwc_authentic,-0.7725968222282433,0.38899342662323333,-1.5350099286326049,-0.010183715823881778,0.04701737623987965,348,104,0.25983286869407174,1.0,LIWC
