feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr,p_bonferroni
F0final_sma_upleveltime50,0.9438866338163248,0.3718203130027265,0.21513221161057083,1.6726410560220786,0.01113110322081017,348,104,0.33175058805285335,0.43411302561159665
F0final_sma_qregerrQ,0.8969817390870937,0.41560153488045365,0.08241769880183747,1.7115457793723499,0.030906581317855845,348,104,0.33175058805285335,1.0
F0final_sma_linregerrQ,0.8916533305809043,0.41561937881318656,0.07705431683014907,1.7062523443316597,0.031924047740762025,348,104,0.33175058805285335,1.0
F0final_sma_upleveltime75,0.7886983454946545,0.3767657632162251,0.050251018983107354,1.5271456720062015,0.036318932080490494,348,104,0.33175058805285335,1.0
F0final_sma_qregc3,1.3412736179531743,0.6612876526928584,0.04517363525414031,2.637373600652208,0.042532126673442736,348,104,0.33175058805285335,1.0
F0final_sma_qregc1,0.591358519289294,0.31080050241059065,-0.017799271812418027,1.200516310391006,0.057080372669207464,348,104,0.33861287867353784,1.0
F0final_sma_linregc2,1.2549651783977882,0.6767477054404551,-0.07143595088562504,2.5813663076812015,0.06368106052965736,348,104,0.33861287867353784,1.0
F0final_sma_upleveltime25,1.1963629278121475,0.6715153909749455,-0.11978305356307906,2.512508909187374,0.07481664556249144,348,104,0.33861287867353784,1.0
F0final_sma_flatness,-0.9364456968505546,0.5605658668739745,-2.035134606886019,0.16224321318490986,0.09481327978088885,348,104,0.33861287867353784,1.0
F0final_sma_kurtosis,-0.7725735131323328,0.47239318559863225,-1.6984471434477975,0.15330011718313175,0.10195560053132509,348,104,0.33861287867353784,1.0
F0final_sma_maxPos,0.5467907959405544,0.3379484231047598,-0.1155759419768787,1.2091575338579874,0.1056688170459873,348,104,0.33861287867353784,1.0
F0final_sma_iqr1-3,0.7592536776971027,0.47021625477960216,-0.16235324661622752,1.680860602010433,0.10637775513668411,348,104,0.33861287867353784,1.0
F0final_sma_risetime,0.7852905289099427,0.49532021260716413,-0.1855192486148215,1.756100306434707,0.11287095955784594,348,104,0.33861287867353784,1.0
F0final_sma_qregc2,-0.46949686402570256,0.3274854794592724,-1.1113566092257081,0.17236288117430298,0.15167451573896928,348,104,0.422521865272843,1.0
F0final_sma_iqr1-2,0.5302991123100483,0.4100383024727023,-0.2733611928183891,1.3339594174384857,0.1959102078950652,348,104,0.5093665405271695,1.0
F0final_sma_iqr2-3,0.6547120979194134,0.5312008351557423,-0.3864224075434397,1.6958466033822666,0.21775739897377389,348,104,0.5307836599985739,1.0
F0final_sma_stddev,0.5896666930896326,0.5128497404731142,-0.41550032771838485,1.59483371389765,0.25023263223769,348,104,0.5474772374065178,1.0
F0final_sma_lpc2,-0.4013714930394644,0.36619595870002725,-1.1191023833756348,0.31635939729670604,0.273054011069648,348,104,0.5474772374065178,1.0
F0final_sma_quartile3,0.9328822115496258,0.8574834701211955,-0.747754507226345,2.6135189303255966,0.2766258978291588,348,104,0.5474772374065178,1.0
F0final_sma_lpc0,0.4969695363262571,0.46074608784862403,-0.40607620187477383,1.400015274527288,0.28075755764436805,348,104,0.5474772374065178,1.0
F0final_sma_lpc1,-0.44844034183449255,0.44364960900185685,-1.317977597233409,0.4210969135644238,0.3121129000553252,348,104,0.5553559214621001,1.0
F0final_sma_lpgain,0.5313265068222577,0.5269171216617113,-0.5014120744722066,1.564065088116722,0.3132776992863129,348,104,0.5553559214621001,1.0
F0final_sma_skewness,-0.5371380936690779,0.6132491738856753,-1.7390843880339426,0.6648082006957867,0.3810904793596649,348,104,0.6461968997837796,1.0
F0final_sma_range,-0.31645286444067194,0.37463482772309314,-1.0507236341323023,0.41781790525095835,0.39828011037841016,348,104,0.6472051793649165,1.0
F0final_sma_lpc3,0.24757581228229741,0.33122885909136046,-0.4016208221770615,0.8967724467416563,0.454794156843358,348,104,0.6990085776688594,1.0
F0final_sma_linregc1,0.23831377052806005,0.32690800840823986,-0.40241415220980725,0.8790416932659273,0.4660057184459062,348,104,0.6990085776688594,1.0
F0final_sma_quartile2,0.7044619562503286,1.2098558983671157,-1.6668120310325705,3.0757359435332274,0.5603852957515313,348,104,0.8094454271966564,1.0
F0final_sma_upleveltime90,0.20410656182780743,0.388817431317534,-0.5579616001159353,0.9661747237715501,0.5996235795148981,348,104,0.8109159993530123,1.0
F0final_sma_leftctime,-0.2644610689029451,0.5664160216011669,-1.3746160715076936,0.8456939337018033,0.6405696209377014,348,104,0.8109159993530123,1.0
F0final_sma_pctlrange0-1,-0.23111127190344846,0.5028719053433619,-1.216722095213473,0.754499551406576,0.6458157164180572,348,104,0.8109159993530123,1.0
F0final_sma_centroid,-0.14163627434067835,0.32242454550536936,-0.7735767712628981,0.4903042225815414,0.6604550239452862,348,104,0.8109159993530123,1.0
F0final_sma_rqmean,0.36226879299389025,0.8746332945999746,-1.3519809641016711,2.0765185500894514,0.6787312567947636,348,104,0.8109159993530123,1.0
F0final_sma_percentile99.0,-0.20023373733257846,0.49894263556006574,-1.178143333381801,0.7776758587166441,0.6881873750544532,348,104,0.8109159993530123,1.0
F0final_sma_quartile1,-0.34861213983775585,0.9407276389076573,-2.192404431358165,1.4951801516826535,0.7109525255985432,348,104,0.8109159993530123,1.0
F0final_sma_minPos,-0.11401322054533995,0.33595075818343084,-0.7724646071637892,0.5444381660731094,0.7343274018540906,348,104,0.8109159993530123,1.0
F0final_sma_percentile1.0,0.13145677670048742,0.4355165276717504,-0.7221399322080853,0.98505348560906,0.7627732173562324,348,104,0.8109159993530123,1.0
F0final_sma_lpc4,-0.09622328259023895,0.35773064253257325,-0.7973624581204549,0.604915892939977,0.7879431494444338,348,104,0.8109159993530123,1.0
F0final_sma_posamean,0.22280715072101037,0.931294771326618,-1.6024970600696262,2.048111361511647,0.8109159993530123,348,104,0.8109159993530123,1.0
F0final_sma_amean,0.22280715072101037,0.931294771326618,-1.6024970600696262,2.048111361511647,0.8109159993530123,348,104,0.8109159993530123,1.0
