feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr,p_bonferroni
liwc_death,2.350567440113989,0.3593626950370395,1.6462295004541407,3.0549053797738375,6.113607103828094e-11,348.0,104.0,6.419287459019499e-09,6.419287459019499e-09
liwc_focus_present,-1.1638238146248734,0.3714206403903651,-1.8917948929047919,-0.4358527363449549,0.0017277099273998574,348.0,104.0,0.0758055253413994,0.18140954237698503
liwc_inaction,-1.0366545087923689,0.34763433080907435,-1.7180052769678376,-0.3553037406169002,0.002863479597669371,348.0,104.0,0.0758055253413994,0.30066535775528397
liwc_they,1.032998094734766,0.34670969509681043,0.35345957925415405,1.7125366102153778,0.0028878295368152153,348.0,104.0,0.0758055253413994,0.30322210136559763
liwc_social_processes,1.1738588309576017,0.42248125278474685,0.34581079135613546,2.001906870559068,0.0054612633939019025,348.0,104.0,0.11353367671104962,0.5734326563596998
liwc_emotional_tone,-0.9904019363574698,0.37017767900401394,-1.7159368550859662,-0.26486701762897347,0.007462295102500365,348.0,104.0,0.11353367671104962,0.7835409857625383
liwc_quantifiers,-1.0436568893744702,0.39077758794962675,-1.809566887721172,-0.2777468910277684,0.007568911780736641,348.0,104.0,0.11353367671104962,0.7947357369773473
liwc_adjectives,-0.84297126856267,0.33010225748345473,-1.4899598044456088,-0.1959827326797312,0.010659512248569154,348.0,104.0,0.12238276996944264,1.0
liwc_achievement,-0.9193624871442879,0.36194485943101956,-1.628761376018499,-0.20996359827007705,0.01108327286965302,348.0,104.0,0.12238276996944264,1.0
liwc_avoidance,0.9839964104211296,0.39010227494736266,0.21941000123715704,1.7485828196051023,0.011655501901851679,348.0,104.0,0.12238276996944264,1.0
liwc_authentic,-0.945323408510604,0.38890188911231754,-1.7075571046903362,-0.1830897123308719,0.015067592013809908,348.0,104.0,0.14382701467727638,1.0
liwc_health,0.8979117512608736,0.38267914857817603,0.14787440241319638,1.647949100108551,0.018956629739585413,348.0,104.0,0.14881079242436757,1.0
liwc_apostrophes,-0.8225661905948496,0.35156503628233216,-1.511620999931738,-0.13351138125796114,0.019297842749871237,348.0,104.0,0.14881079242436757,1.0
liwc_dashes,0.7777933343928485,0.3339124899370567,0.12333688012812416,1.4322497886575727,0.019841438989915677,348.0,104.0,0.14881079242436757,1.0
liwc_family,0.9500736380545407,0.4132614756582151,0.14009602956656286,1.7600512465425187,0.02150693101718725,348.0,104.0,0.15054851712031078,1.0
liwc_focus_past,0.8565883267288218,0.3856066359422353,0.10081320808239225,1.6123634453752513,0.026323574693552145,348.0,104.0,0.17274845892643595,1.0
liwc_absolutist,0.7850702533748368,0.37103542813943546,0.05785417723314401,1.5122863295165296,0.03435414089636418,348.0,104.0,0.2069092415478905,1.0
liwc_discrepancies,0.7562770708911316,0.3596267784058222,0.051421537339553236,1.46113260444271,0.03547015569392409,348.0,104.0,0.2069092415478905,1.0
liwc_positive_emotion_words,-0.7085363263809545,0.3668278429156775,-1.4275056870221987,0.010433034260289742,0.05341843786996879,348.0,104.0,0.28115361733479505,1.0
liwc_other_grammar,-0.6869445944240851,0.35870683810484155,-1.3899970781178144,0.016107889269644238,0.05548503815599841,348.0,104.0,0.28115361733479505,1.0
