mediator,a,a_se,a_p,b,b_se,b_p,c,c_p,c_prime,c_prime_se,c_prime_p,indirect,CI_lo,CI_hi,sig_MC,prop_mediated,n_obs,n_subjects,p_indirect_proxy,q_fdr
PHQ1,0.3190730983737263,0.050177661954441545,2.032467704781331e-10,2.509475317504451,0.41022712850441706,9.518442083577742e-10,2.4587600308160433,2.8518826163539135e-11,1.6350080714342112,0.3765239328278224,1.409507526608741e-05,0.8007060648485358,0.4721379517614299,1.1811106590561962,True,0.3256544171912489,322,103,9.518442083577742e-10,2.9507170459091e-08
BHOL2,0.2096600958445883,0.047655954406247446,1.0852445238739634e-05,2.980621696409467,0.4320512942588216,5.245540992852265e-12,2.4587600308160433,2.8518826163539135e-11,1.836560830090806,0.3611643607430218,3.6741130976492794e-07,0.6249174305456683,0.31327080001768787,0.9758602744174594,True,0.2541595856096063,322,103,1.0852445238739634e-05,8.410645060023216e-05
BHOL7,0.2006377702258747,0.046823600924206094,1.8276305898682814e-05,2.7521911496552307,0.43970338736136,3.869590022360207e-10,2.4587600308160433,2.8518826163539135e-11,1.9202052971647872,0.36457519772416386,1.3869662047368725e-07,0.5521934955022121,0.2662056913721692,0.8819566030887557,True,0.22458210178361462,322,103,1.8276305898682814e-05,0.00011331309657183345
BHOL14,0.19232020116855789,0.05064217735779274,0.00014608675647154713,2.716044675532004,0.4021002481723996,1.4318480610607732e-11,2.4587600308160433,2.8518826163539135e-11,1.9194111608076714,0.35732806237994935,7.805592198962811e-08,0.5223502583811055,0.22890677390614347,0.8517594486158179,True,0.21244458663489071,322,103,0.00014608675647154713,0.0006469556358025659
BAI19,0.1731994226051153,0.049661248133839264,0.00048734529942169103,2.959403308491821,0.39631767226447046,8.188783495071882e-14,2.4587600308160433,2.8518826163539135e-11,1.9499960472639426,0.34265749895833875,1.2644391750344012e-08,0.5125669442864513,0.2088617705707283,0.8485407485366866,True,0.20846562407976607,322,103,0.00048734529942169103,0.0015107704282072423
PHQ4,0.22990241649118534,0.05090347167435702,6.2888269858671896e-06,2.1192261362574123,0.4033195945518431,1.4846048663783567e-07,2.4587600308160433,2.8518826163539135e-11,1.9768743375732554,0.3661518097423556,6.699224568532299e-08,0.4872152098168571,0.23394721663895438,0.7909951575342662,True,0.19815484378731915,322,103,6.2888269858671896e-06,6.498454552062763e-05
BHOL6,-0.21937853064594637,0.04749451855925264,3.855410683486002e-06,-2.219980813458192,0.44204086924447394,5.110512542293682e-07,2.4587600308160433,2.8518826163539135e-11,1.976398024042315,0.3721277044121395,1.0898066467180956e-07,0.4870161289186509,0.2340723155598036,0.7983407427807097,True,0.19807387578079919,322,103,3.855410683486002e-06,5.975886559403304e-05
BHOL13,-0.15553179872646675,0.04519487646907996,0.0005787998608371268,-2.8574280652388913,0.46077215398681404,5.596644847287882e-10,2.4587600308160433,2.8518826163539135e-11,2.0427709379385557,0.3637105643652787,1.9489353034720913e-08,0.4444209267180925,0.1786100999795866,0.7555175050664775,True,0.1807500208023931,322,103,0.0005787998608371268,0.0016311632441773573
BHOL19,-0.1645477824369476,0.046724089284950414,0.0004288044145372826,-2.622713472587698,0.4452897109006614,3.864209562640322e-09,2.4587600308160433,2.8518826163539135e-11,2.0468147339681524,0.3636286465813875,1.8140458609305646e-08,0.4315616858818118,0.17611901459028628,0.7316332753518169,True,0.17552005094965686,322,103,0.0004288044145372826,0.0014769929834061956
BAI8,0.131421710725388,0.0473435771933819,0.005504672406692288,3.2598486646530076,0.4103703604908757,1.9627787129764145e-15,2.4587600308160433,2.8518826163539135e-11,2.0361990994318613,0.3373421305760588,1.579754534496046e-09,0.4284148882145699,0.11657206392799122,0.7623965805062424,True,0.17424021980395638,322,103,0.005504672406692288,0.008981307610918995
BAI17,0.16370810279621528,0.04792220699591209,0.0006351979600836375,2.5966242623868663,0.4252662752416198,1.022366781141216e-09,2.4587600308160433,2.8518826163539135e-11,2.0471702935729903,0.3575580698463227,1.031778707760098e-08,0.4250884316699758,0.16081156884183262,0.7258039309086037,True,0.1728873197637316,322,103,0.0006351979600836375,0.001640928063549397
BHOL20,0.16780447677165614,0.04010341242114683,2.860534322452951e-05,2.5298450521244873,0.4888236717724251,2.2745556010770406e-07,2.4587600308160433,2.8518826163539135e-11,2.0366149122103696,0.36873367175022387,3.327514647805302e-08,0.4245193252851127,0.19337465554973923,0.7030204315863438,True,0.17265585903648273,322,103,2.860534322452951e-05,0.0001477942733267358
BHOL18,0.16023010453570116,0.04829039685779639,0.0009064722628913031,2.5329322140515833,0.43351751887219353,5.134765986745332e-09,2.4587600308160433,2.8518826163539135e-11,2.060988139540219,0.3621960659106628,1.2684945797329426e-08,0.4058519934393302,0.1463004688335617,0.7032063201347295,True,0.16506368590375659,322,103,0.0009064722628913031,0.002007188582116457
BAI14,0.13664402378712362,0.04638104987305384,0.0032179011134418887,2.9656782345477457,0.42992255006726715,5.267720746913956e-12,2.4587600308160433,2.8518826163539135e-11,2.071004122540262,0.3490946523230775,2.983558811868292e-09,0.40524220722649695,0.12484906047294878,0.7167403750486361,True,0.164815680321597,322,103,0.0032179011134418887,0.00586793732451168
BAI11,0.14306457367508071,0.04851245310744908,0.003187752823608599,2.71762342699801,0.424770786627977,1.5757110760978972e-10,2.4587600308160433,2.8518826163539135e-11,2.1275586097953103,0.3492504104085987,1.1165818542506506e-09,0.3887956369928821,0.11945420261308518,0.6922646844587005,True,0.15812671107389192,322,103,0.003187752823608599,0.00586793732451168
BHOL11,0.15101133999134994,0.049672874779398815,0.0023648643511479783,2.562225679415518,0.41102238270789293,4.552942164708279e-10,2.4587600308160433,2.8518826163539135e-11,2.071825057506481,0.3572428802460659,6.651851915635095e-09,0.38692513320878436,0.12518561294661343,0.6846028172408487,True,0.1573659602236038,322,103,0.0023648643511479783,0.004887386325705821
BAI15,0.12217111547203202,0.04957435960364852,0.01372423624441871,2.7603521992141604,0.41365523263030074,2.5049908306222316e-11,2.4587600308160433,2.8518826163539135e-11,2.178796249929808,0.34825646865106624,3.942231279212905e-10,0.33723530727367074,0.06330797043514348,0.6379653250672784,True,0.13715665743994748,322,103,0.01372423624441871,0.01849788363378174
