item,coef,SE,CI_lo,CI_hi,p,n,n_subj,q_fdr
SSI8,0.22119175963773038,0.08330566258332618,0.0579156612661651,0.38446785800929567,0.007926544946608428,323,103,0.15060435398556013
SSI14,0.1929579343616388,0.08288510134060094,0.030506120879108395,0.35540974784416923,0.019911194971890145,323,103,0.18915635223295638
SSI15,0.14900942678446494,0.08399840194705269,-0.01562441579067747,0.31364326935960735,0.07607051200762778,323,103,0.3567968800101963
SSI16,0.1426910664041019,0.08485299567470521,-0.0236177490986533,0.3089998819068571,0.09264124225801638,323,103,0.3567968800101963
SSI3,0.1415151997322927,0.0844763215189526,-0.02405534799128034,0.30708574745586575,0.09389391579215692,323,103,0.3567968800101963
SSI10,0.11031843753306346,0.08128928310117205,-0.0490056296743142,0.2696425047404411,0.1747465016989389,323,103,0.4519322868742639
SSI12,0.10271431492282407,0.0786101333991499,-0.051358715359398954,0.2567873452050471,0.19133859159556887,323,103,0.4519322868742639
SSI9,0.10972812188000587,0.08507319709875502,-0.057012280483231384,0.27646852424324314,0.19711720030686108,323,103,0.4519322868742639
SSI5,0.09731810836403433,0.07861612759569375,-0.056766670327530896,0.25140288705559954,0.21575689709881885,323,103,0.4519322868742639
SSI1,0.09873433005948828,0.0836480041027682,-0.06521274536059604,0.26268140547957264,0.23785909835487573,323,103,0.4519322868742639
SSI19,0.08514779701829572,0.08834745469217267,-0.08801003230414692,0.2583056263407384,0.3351546060504542,323,103,0.5681302855439978
SSI13,0.066176687204434,0.08016336068445455,-0.09094061261679105,0.22329398702565906,0.4090748067813331,323,103,0.5681302855439978
SSI2,0.05969391395422315,0.07979275989728798,-0.09669702167151323,0.21608484957995955,0.4543926591747337,323,103,0.5681302855439978
SSI18,0.06577872063732174,0.09246944702855209,-0.11545806520897467,0.24701550648361814,0.4768634922704429,323,103,0.5681302855439978
SSI4,0.0593752544369006,0.08512044831706693,-0.10745775861245364,0.22620826748625483,0.48546243961876046,323,103,0.5681302855439978
SSI6,0.060889611851105,0.08823190779439052,-0.1120417497131593,0.2338209734153693,0.49012579922603616,323,103,0.5681302855439978
SSI11,0.05402446563446576,0.08167645263400543,-0.10605843991317651,0.21410737118210801,0.508327097591998,323,103,0.5681302855439978
SSI7,0.042156430640338555,0.08469733012755296,-0.12384728599636449,0.2081601472770416,0.6186741227478356,323,103,0.6530449073449376
SSI17,0.014914270023942359,0.08154712002728816,-0.14491514827250737,0.17474368832039208,0.8548832012926127,323,103,0.8548832012926127
