item,coef,SE,CI_lo,CI_hi,p,n,n_subj,q_fdr
SSI2,0.22002757776837706,0.04496227473553362,0.13190313862373598,0.30815201691301813,9.900584164051805e-07,323,103,1.0036622597015062e-05
SSI8,0.23455140994012902,0.04820749604417771,0.14006645390868358,0.3290363659715745,1.1419370482935297e-06,323,103,1.0036622597015062e-05
SSI3,0.23102972644970696,0.048128753513050224,0.13669910294332294,0.325360349956091,1.5847298837392202e-06,323,103,1.0036622597015062e-05
SSI4,0.22178165372486686,0.04815161390052034,0.12740622468236876,0.316157082767365,4.106801808365095e-06,323,103,1.95073085897342e-05
SSI7,0.22038902881861505,0.048571179189531945,0.12519126692049107,0.315586790716739,5.694001465289255e-06,323,103,2.163720556809917e-05
SSI9,0.21271712545807733,0.048650930450622736,0.11736305396049375,0.30807119695566093,1.2293675914293008e-05,323,103,3.892997372859453e-05
SSI16,0.21009438953738946,0.048574819691365755,0.11488949238678556,0.30529928668799333,1.5241375492680233e-05,323,103,4.136944776584635e-05
SSI10,0.1991492771122919,0.046457621519234195,0.10809401212719989,0.29020454209738394,1.8135763173812803e-05,323,103,4.307243753780541e-05
SSI18,0.20619115635783095,0.05235744054606189,0.1035724585648525,0.3088098541508094,8.211420726335877e-05,323,103,0.0001733522153337574
SSI13,0.17796806233891596,0.04621262882455435,0.08739297421187187,0.26854315046596006,0.00011760293934839698,323,103,0.00022344558476195426
SSI11,0.17675168551320605,0.047144728656286085,0.0843497152859719,0.2691536557404402,0.00017744955442266234,323,103,0.0003065037758209622
SSI15,0.16319370567541958,0.048500211285491014,0.06813503831327411,0.25825237303756504,0.0007659804646003275,323,103,0.0011544843223191897
SSI19,0.17325472538004633,0.0516206537919881,0.07208010308933867,0.274429347670754,0.0007899103257973404,323,103,0.0011544843223191897
SSI12,0.15143807858483171,0.045993843073019354,0.06129180265112674,0.2415843545185367,0.0009927517783830874,323,103,0.0013473059849484759
SSI1,0.15535050507908463,0.047862057189516964,0.061542596761635024,0.24915841339653422,0.0011712246592307087,323,103,0.0014835512350255642
SSI14,0.14708505281109893,0.04847607630810658,0.052073689135394646,0.24209641648680322,0.0024119193532263017,323,103,0.0028641542319562336
SSI5,0.11936918911440116,0.045152440740366444,0.030872031449203877,0.20786634677959842,0.00820070113010841,323,103,0.009165489498356457
SSI6,0.12891439220161427,0.050881194697224796,0.029189083104683294,0.22863970129854524,0.011288614355396766,323,103,0.011915759597363254
SSI17,0.1148215758378337,0.04721199390018922,0.02228776815513811,0.2073553835205293,0.015013945348536574,323,103,0.015013945348536574
