item,b_liwc,SE_liwc,CI_lo_liwc,CI_hi_liwc,p_liwc,q_liwc,b_F0,SE_F0,CI_lo_F0,CI_hi_F0,p_F0,q_F0
SSI1,0.15535050507908463,0.047862057189516964,0.061542596761635024,0.24915841339653422,0.0011712246592307087,0.0014835512350255642,0.09873433005948828,0.0836480041027682,-0.06521274536059604,0.26268140547957264,0.23785909835487573,0.4519322868742639
SSI10,0.1991492771122919,0.046457621519234195,0.10809401212719989,0.29020454209738394,1.8135763173812803e-05,4.307243753780541e-05,0.11031843753306346,0.08128928310117205,-0.0490056296743142,0.2696425047404411,0.1747465016989389,0.4519322868742639
SSI11,0.17675168551320605,0.047144728656286085,0.0843497152859719,0.2691536557404402,0.00017744955442266234,0.0003065037758209622,0.05402446563446576,0.08167645263400543,-0.10605843991317651,0.21410737118210801,0.508327097591998,0.5681302855439978
SSI12,0.15143807858483171,0.045993843073019354,0.06129180265112674,0.2415843545185367,0.0009927517783830874,0.0013473059849484759,0.10271431492282407,0.0786101333991499,-0.051358715359398954,0.2567873452050471,0.19133859159556887,0.4519322868742639
SSI13,0.17796806233891596,0.04621262882455435,0.08739297421187187,0.26854315046596006,0.00011760293934839698,0.00022344558476195426,0.066176687204434,0.08016336068445455,-0.09094061261679105,0.22329398702565906,0.4090748067813331,0.5681302855439978
SSI14,0.14708505281109893,0.04847607630810658,0.052073689135394646,0.24209641648680322,0.0024119193532263017,0.0028641542319562336,0.1929579343616388,0.08288510134060094,0.030506120879108395,0.35540974784416923,0.019911194971890145,0.18915635223295638
SSI15,0.16319370567541958,0.048500211285491014,0.06813503831327411,0.25825237303756504,0.0007659804646003275,0.0011544843223191897,0.14900942678446494,0.08399840194705269,-0.01562441579067747,0.31364326935960735,0.07607051200762778,0.3567968800101963
SSI16,0.21009438953738946,0.048574819691365755,0.11488949238678556,0.30529928668799333,1.5241375492680233e-05,4.136944776584635e-05,0.1426910664041019,0.08485299567470521,-0.0236177490986533,0.3089998819068571,0.09264124225801638,0.3567968800101963
SSI17,0.1148215758378337,0.04721199390018922,0.02228776815513811,0.2073553835205293,0.015013945348536574,0.015013945348536574,0.014914270023942359,0.08154712002728816,-0.14491514827250737,0.17474368832039208,0.8548832012926127,0.8548832012926127
SSI18,0.20619115635783095,0.05235744054606189,0.1035724585648525,0.3088098541508094,8.211420726335877e-05,0.0001733522153337574,0.06577872063732174,0.09246944702855209,-0.11545806520897467,0.24701550648361814,0.4768634922704429,0.5681302855439978
SSI19,0.17325472538004633,0.0516206537919881,0.07208010308933867,0.274429347670754,0.0007899103257973404,0.0011544843223191897,0.08514779701829572,0.08834745469217267,-0.08801003230414692,0.2583056263407384,0.3351546060504542,0.5681302855439978
SSI2,0.22002757776837706,0.04496227473553362,0.13190313862373598,0.30815201691301813,9.900584164051805e-07,1.0036622597015062e-05,0.05969391395422315,0.07979275989728798,-0.09669702167151323,0.21608484957995955,0.4543926591747337,0.5681302855439978
SSI3,0.23102972644970696,0.048128753513050224,0.13669910294332294,0.325360349956091,1.5847298837392202e-06,1.0036622597015062e-05,0.1415151997322927,0.0844763215189526,-0.02405534799128034,0.30708574745586575,0.09389391579215692,0.3567968800101963
SSI4,0.22178165372486686,0.04815161390052034,0.12740622468236876,0.316157082767365,4.106801808365095e-06,1.95073085897342e-05,0.0593752544369006,0.08512044831706693,-0.10745775861245364,0.22620826748625483,0.48546243961876046,0.5681302855439978
SSI5,0.11936918911440116,0.045152440740366444,0.030872031449203877,0.20786634677959842,0.00820070113010841,0.009165489498356457,0.09731810836403433,0.07861612759569375,-0.056766670327530896,0.25140288705559954,0.21575689709881885,0.4519322868742639
SSI6,0.12891439220161427,0.050881194697224796,0.029189083104683294,0.22863970129854524,0.011288614355396766,0.011915759597363254,0.060889611851105,0.08823190779439052,-0.1120417497131593,0.2338209734153693,0.49012579922603616,0.5681302855439978
SSI7,0.22038902881861505,0.048571179189531945,0.12519126692049107,0.315586790716739,5.694001465289255e-06,2.163720556809917e-05,0.042156430640338555,0.08469733012755296,-0.12384728599636449,0.2081601472770416,0.6186741227478356,0.6530449073449376
SSI8,0.23455140994012902,0.04820749604417771,0.14006645390868358,0.3290363659715745,1.1419370482935297e-06,1.0036622597015062e-05,0.22119175963773038,0.08330566258332618,0.0579156612661651,0.38446785800929567,0.007926544946608428,0.15060435398556013
SSI9,0.21271712545807733,0.048650930450622736,0.11736305396049375,0.30807119695566093,1.2293675914293008e-05,3.892997372859453e-05,0.10972812188000587,0.08507319709875502,-0.057012280483231384,0.27646852424324314,0.19711720030686108,0.4519322868742639
