subscale,coef,SE,CI_lo,CI_hi,p,n,n_subj,q_fdr
BHS_Hopeless,0.4991190935274883,0.04702060030362547,0.40696041040092923,0.5912777766540473,2.5405919263852307e-26,348,104,2.5405919263852307e-25
PHQ_CogAffect,0.443798192381326,0.043460008448432966,0.3586181410545909,0.5289782437080611,1.7585715558958224e-24,348,104,8.792857779479111e-24
BAI_Somatic,0.47338894432821294,0.04805820813208086,0.3791965872278045,0.5675813014286214,6.832303591075929e-23,348,104,2.2774345303586433e-22
BAI_Cognitive,0.442337582067974,0.0463668730076854,0.35146018089716824,0.5332149832387798,1.4290321855224645e-21,348,104,3.5725804638061606e-21
HAMD_Depression,0.3928201178798831,0.04461776395177013,0.3053709074637041,0.48026932829606206,1.3188402026558977e-18,348,104,2.6376804053117954e-18
PHQ_Somatic,0.33306075797005463,0.04598021307324996,0.24294119634500694,0.42318031959510233,4.3703491499025315e-13,348,104,7.283915249837552e-13
HAMD_Anxiety,0.2370746626063769,0.04336315422736457,0.15208444206468658,0.32206488314806725,4.57222342363055e-08,348,104,6.531747748043644e-08
HAMD_Sleep,0.1596235016921041,0.04130726004587998,0.078662759702149,0.2405842436820592,0.00011140981276636047,348,104,0.0001392622659579506
BHS_Hopeful,0.15673845766655786,0.05001169470425802,0.058717337240399584,0.25475957809271615,0.0017241963027146384,348,104,0.0019157736696829315
HAMD_Somatic,0.1213265400650619,0.0428887385645722,0.0372661571361463,0.20538692299397748,0.004671309768595102,348,104,0.004671309768595102
