,F1,F2
pbi.father.warm,0.8102281041387492,0.04267391947771291
pbi.father.decide.yourself,0.643423523556101,-0.214776357004942
pbi.father.better.upset,0.8126066189617435,0.09330940084406257
pbi.father.not.talk,-0.5454030443948084,0.12553149381829756
pbi.father.make.dependent,0.19190074503397123,0.563754957234629
pbi.father.freedom,0.6453172861885957,-0.2585569070014101
pbi.father.protective,0.14204337901898725,0.6739895590225653
pbi.father.let.dress,0.5381834651158005,-0.15534555623007126
pbi.father.cold,-0.5542123071104273,0.20424052120177516
pbi.father.understand,0.7779640413942628,0.08025681916703949
pbi.father.decisions,0.5221368674664185,-0.15542360995107218
pbi.father.grow.up,0.05595057943150079,0.39389968401402015
pbi.father.control,-0.332221006020928,0.5686667882145204
pbi.father.talk.over,0.8358303888754831,0.1134947594754975
pbi.father.smile,0.8621389623338905,0.0941151268625382
pbi.father.baby,-0.006166928983552742,0.6709289160411955
