,F1,F2
pbi.mother.warm,0.7878888634555063,0.025191251714963444
pbi.mother.decide.yourself,0.6139763971812304,-0.27627769233561017
pbi.mother.better.upset,0.8067795719216388,0.06178192743083261
pbi.mother.not.talk,-0.5151133038654262,0.10790899724038042
pbi.mother.make.dependent,0.1341942602622218,0.5927485612169241
pbi.mother.freedom,0.5999885294779775,-0.2627994374330155
pbi.mother.protective,0.15216092970451697,0.6681934097891891
pbi.mother.let.dress,0.5446333507706164,-0.1484156635417813
pbi.mother.cold,-0.4956360519419371,0.18077091965923353
pbi.mother.understand,0.7468673823609792,0.07444134635899219
pbi.mother.decisions,0.3246234398251722,-0.17830783972733816
pbi.mother.grow.up,-0.008922570657969801,0.32943747812928964
pbi.mother.control,-0.35578170401899206,0.5668158159786225
pbi.mother.talk.over,0.8163393692564043,0.12003183112194704
pbi.mother.smile,0.8581759877877275,0.07867170951307408
pbi.mother.baby,0.008229756697468203,0.6204442940191843
