,F1,F2
sl.fr.care.frq,0.017036176733206468,0.3905756248933393
sl.fr.xs.demand.frq,0.4746997235822685,0.007812014774865457
sl.fr.criticize.frq,0.5539565759178448,-0.013722512942417537
sl.fr.interest.frq,0.021477373989471086,0.3861534953429655
sl.fr.arguments.frq,0.5250245956288249,0.030795342696979314
sl.rel.care.frq,-0.003685393021069128,0.71756495744566
sl.rel.xs.demand.frq,0.625845736198351,0.02743539321327011
sl.rel.criticize.frq,0.7200718644168873,-0.039912197687741235
sl.rel.interest.frq,-0.001825709709397988,0.8039631370010181
sl.rel.arguments.frq,0.6627321411909121,0.01767493534865516
