time,survival,n_risk,group
0.0,1.0,2001,No CSA
0.0,0.9075462268865567,2001,No CSA
1.0,0.8945527236381808,1816,No CSA
2.0,0.8865118002796354,1780,No CSA
3.0,0.8691891559063551,1740,No CSA
4.0,0.8603622648368163,1674,No CSA
5.0,0.8534962676343126,1629,No CSA
6.0,0.8480738008767884,1574,No CSA
7.0,0.8380637494566033,1525,No CSA
8.0,0.8334810358573875,1463,No CSA
9.0,0.8264622481870095,1425,No CSA
10.0,0.822285182672707,1385,No CSA
11.0,0.8179146463942644,1317,No CSA
12.0,0.8114438026727907,1264,No CSA
13.0,0.8060386815892084,1201,No CSA
14.0,0.7981783752971151,1128,No CSA
15.0,0.793702608706664,1070,No CSA
16.0,0.7842443849683521,1007,No CSA
17.0,0.7784228465857663,943,No CSA
18.0,0.7748885771347527,881,No CSA
19.0,0.7692802159009667,829,No CSA
20.0,0.7602886289618646,770,No CSA
21.0,0.7526748658678258,699,No CSA
22.0,0.751523986868028,654,No CSA
23.0,0.7391430315654246,607,No CSA
24.0,0.7351039986060507,549,No CSA
26.0,0.7303917934867812,468,No CSA
27.0,0.7235974512217879,430,No CSA
28.0,0.7217974575620322,402,No CSA
29.0,0.7197980186214171,361,No CSA
30.0,0.7132938196579706,332,No CSA
31.0,0.7085856096272249,303,No CSA
33.0,0.7058497578526025,259,No CSA
37.0,0.7016977004534696,170,No CSA
41.0,0.6938134566281496,89,No CSA
0.0,1.0,922,CSA
0.0,0.8850325379609545,922,CSA
1.0,0.8665943600867679,816,CSA
2.0,0.849131501445221,794,CSA
3.0,0.836857590123411,761,CSA
4.0,0.8208521170882638,732,CSA
5.0,0.8161277883568205,695,CSA
6.0,0.8087752857590114,666,CSA
7.0,0.7999293060710222,640,CSA
8.0,0.7869854661669603,618,CSA
9.0,0.773736552595126,594,CSA
10.0,0.7669493898530635,570,CSA
11.0,0.7571167053677679,546,CSA
12.0,0.7541476202486787,510,CSA
13.0,0.7479660823777878,488,CSA
14.0,0.7398005137928775,458,CSA
15.0,0.7327881866479213,422,CSA
16.0,0.7269877524528191,379,CSA
17.0,0.712364435593136,348,CSA
18.0,0.7101313182401795,319,CSA
19.0,0.7029096438173981,295,CSA
20.0,0.6923791622620812,267,CSA
21.0,0.6839696987528251,247,CSA
22.0,0.6808887541638484,222,CSA
23.0,0.6775673456069516,205,CSA
24.0,0.6739439908176097,187,CSA
25.0,0.6661975081645337,174,CSA
27.0,0.64756261283126,143,CSA
30.0,0.641021576338015,99,CSA
35.0,0.6286942383315147,52,CSA
39.0,0.6084137790304981,31,CSA
