time,survival,n_risk,group
0.0,1.0,1983,Onset >25
0.0,0.9213313161875946,1983,Onset >25
1.0,0.9082198688855271,1827,Onset >25
2.0,0.8965238683343697,1786,Onset >25
3.0,0.8829875033072538,1722,Onset >25
4.0,0.871185726227813,1646,Onset >25
5.0,0.8639858441928724,1573,Onset >25
6.0,0.8570693464408281,1499,Onset >25
7.0,0.8457055518962532,1433,Onset >25
8.0,0.8395189714142031,1367,Onset >25
9.0,0.8306082317631046,1319,Onset >25
10.0,0.8266810060810096,1269,Onset >25
11.0,0.8204757274698927,1199,Onset >25
12.0,0.8153886326140121,1129,Onset >25
13.0,0.8100443250968791,1068,Onset >25
14.0,0.8018620591868096,990,Onset >25
15.0,0.7957939138740445,925,Onset >25
16.0,0.7892248603397068,848,Onset >25
17.0,0.7822228653810529,789,Onset >25
18.0,0.776835655564379,726,Onset >25
19.0,0.7710383745527044,670,Onset >25
20.0,0.7659906601530141,611,Onset >25
21.0,0.7631899630409372,547,Onset >25
22.0,0.7616666297813744,501,Onset >25
23.0,0.751600550973691,454,Onset >25
24.0,0.7497168403196217,399,Onset >25
26.0,0.7427319008135383,322,Onset >25
27.0,0.7401439847828292,287,Onset >25
28.0,0.737275209648012,258,Onset >25
30.0,0.7333535330009481,188,Onset >25
41.0,0.6984319361913791,21,Onset >25
0.0,1.0,940,Onset <=25
0.0,0.8563829787234043,940,Onset <=25
1.0,0.8382978723404256,805,Onset <=25
2.0,0.8287234042553193,788,Onset <=25
3.0,0.8085106382978725,779,Onset <=25
4.0,0.7989361702127661,760,Onset <=25
5.0,0.7946808510638299,751,Onset <=25
6.0,0.7903910758893963,741,Onset <=25
7.0,0.7839124605132537,732,Onset <=25
8.0,0.7751291276223489,714,Onset <=25
9.0,0.7662705090209506,700,Onset <=25
10.0,0.7595684345980269,686,Onset <=25
11.0,0.7538487927712345,664,Onset <=25
12.0,0.7480050036799846,645,Onset <=25
13.0,0.7419824191092922,621,Onset <=25
14.0,0.7345127974404067,596,Onset <=25
15.0,0.7306264863428383,567,Onset <=25
16.0,0.7197621519734281,538,Onset <=25
17.0,0.7097256279419261,502,Onset <=25
19.0,0.7034725387089575,454,Onset <=25
20.0,0.6886104428207401,426,Onset <=25
21.0,0.6748037171501489,399,Onset <=25
22.0,0.6730042405710818,375,Onset <=25
23.0,0.6636047400044466,358,Onset <=25
24.0,0.6576972794109353,337,Onset <=25
25.0,0.6535866714146169,320,Onset <=25
27.0,0.6375897948415319,286,Onset <=25
29.0,0.6350894427048984,255,Onset <=25
30.0,0.6272488323011343,243,Onset <=25
31.0,0.6217224108711683,227,Onset <=25
33.0,0.6186292645484261,201,Onset <=25
35.0,0.615011549551067,171,Onset <=25
37.0,0.6108560661081543,148,Onset <=25
39.0,0.6057655988905865,120,Onset <=25
