time,survival,n_risk,group
0.0,1.0,1344,No FH
0.0,0.9099702380952381,1344,No FH
1.0,0.8928571428571429,1223,No FH
2.0,0.8808724832214766,1192,No FH
3.0,0.8648149119127518,1152,No FH
4.0,0.8569743415418294,1103,No FH
5.0,0.848139554515625,1067,No FH
6.0,0.8398569416785583,1024,No FH
7.0,0.8297280137387164,995,No FH
8.0,0.8236525994121776,956,No FH
9.0,0.8156731877924687,929,No FH
10.0,0.8102534323918542,903,No FH
11.0,0.8046070670093325,861,No FH
12.0,0.7987125097418649,819,No FH
13.0,0.7936380973546866,787,No FH
14.0,0.7829421661234913,742,No FH
15.0,0.7761829531785404,695,No FH
16.0,0.769029193241411,651,No FH
17.0,0.7602474569401224,613,No FH
18.0,0.7575799220034904,570,No FH
19.0,0.7518945192117195,533,No FH
20.0,0.7411750454144037,491,No FH
21.0,0.7362118196638608,448,No FH
23.0,0.7285229233749432,383,No FH
24.0,0.7222605486754451,349,No FH
25.0,0.7200585348075321,328,No FH
26.0,0.7152096557852592,297,No FH
27.0,0.7100456871514306,277,No FH
28.0,0.7072391824591324,253,No FH
30.0,0.7039031485796081,212,No FH
31.0,0.7001983951660312,190,No FH
39.0,0.6914459152264558,80,No FH
0.0,1.0,1579,FH+
0.0,0.8923369221025965,1579,FH+
1.0,0.8796706776440785,1409,FH+
2.0,0.869486357208257,1382,FH+
3.0,0.8540173634551078,1349,FH+
4.0,0.8402534612044883,1303,FH+
5.0,0.8362427048264239,1257,FH+
6.0,0.8321165072697145,1216,FH+
7.0,0.8228707683000511,1170,FH+
8.0,0.814824920787784,1125,FH+
9.0,0.8051068254022417,1090,FH+
10.0,0.800514961379035,1052,FH+
11.0,0.7941236243620368,1002,FH+
12.0,0.7891343659890815,955,FH+
13.0,0.7830102633705409,902,FH+
14.0,0.7774438396972906,844,FH+
15.0,0.7735419885570282,797,FH+
16.0,0.7640700458400033,735,FH+
17.0,0.7561814170481448,678,FH+
18.0,0.7525805531574393,630,FH+
19.0,0.7462135434014543,591,FH+
20.0,0.738013394572867,546,FH+
21.0,0.7276397123198347,498,FH+
22.0,0.7244829239800523,461,FH+
23.0,0.7126615242880701,429,FH+
24.0,0.7108200216413308,387,FH+
25.0,0.7088120554785022,354,FH+
26.0,0.7066243639492475,324,FH+
27.0,0.6923008971124385,296,FH+
29.0,0.6894401496037094,242,FH+
30.0,0.6799957639926996,219,FH+
31.0,0.6766127004902484,201,FH+
33.0,0.6725611274334204,167,FH+
35.0,0.6673875802993172,130,FH+
37.0,0.6605775029493242,98,FH+
41.0,0.6497483635567123,61,FH+
