time,survival,n_risk,group
0.0,1.0,408,No
0.0,0.9436274509803921,408,No
1.0,0.9313725490196079,385,No
2.0,0.9190528063077082,378,No
3.0,0.9041894186046187,371,No
4.0,0.901677781330717,360,No
5.0,0.8939711336270356,351,No
7.0,0.8856679961630074,323,No
9.0,0.8769278514640304,304,No
10.0,0.8739851405530772,298,No
13.0,0.8707481585510288,270,No
14.0,0.863945438562349,256,No
15.0,0.860404678568241,244,No
16.0,0.8530192306835351,233,No
17.0,0.8451209044735024,216,No
20.0,0.8263404399296468,180,No
21.0,0.8213017787105635,164,No
23.0,0.8099734783145557,145,No
27.0,0.8021852717923004,104,No
28.0,0.7939153205367097,97,No
0.0,1.0,2515,Yes
0.0,0.8934393638170974,2515,Yes
1.0,0.8783300198807157,2247,Yes
2.0,0.8675308802920184,2196,Yes
3.0,0.8516465120613195,2130,Yes
4.0,0.8391590265472239,2046,Yes
5.0,0.8332045276259562,1973,Yes
6.0,0.8262174875620069,1908,Yes
7.0,0.8163495262556202,1842,Yes
8.0,0.80804766666658,1770,Yes
9.0,0.7990955350825188,1715,Yes
10.0,0.7937907367204744,1657,Yes
11.0,0.7867392961658509,1576,Yes
12.0,0.7804327687416758,1497,Yes
13.0,0.7743829023173217,1419,Yes
14.0,0.7662315033455603,1330,Yes
15.0,0.7607057953887414,1248,Yes
16.0,0.7521288870278969,1153,Yes
17.0,0.7437330296843296,1075,Yes
18.0,0.73998437530084,992,Yes
19.0,0.7328078026955518,928,Yes
20.0,0.7251120381398225,857,Yes
21.0,0.7167667589284946,782,Yes
22.0,0.7147840016423854,723,Yes
23.0,0.7051392400010339,667,Yes
24.0,0.7004616994371796,603,Yes
25.0,0.6979420530363265,556,Yes
26.0,0.6938040566744511,506,Yes
27.0,0.6834487722464742,469,Yes
29.0,0.6816689577354157,384,Yes
30.0,0.6738111023148345,347,Yes
31.0,0.6695732966398985,318,Yes
33.0,0.6670466049544649,265,Yes
35.0,0.6638396501229531,208,Yes
37.0,0.6597670142326283,163,Yes
39.0,0.6544463125049458,124,Yes
41.0,0.6472545947851113,91,Yes
