time,survival,n_risk
0.0,1.0,2923
0.0,0.9004447485460143,2923
1.0,0.8857338351009236,2632
2.0,0.8747223810514949,2574
3.0,0.8589836736755184,2501
4.0,0.8479161367328996,2406
5.0,0.8417136520838207,2324
6.0,0.8357014117117934,2240
7.0,0.8260512799368305,2165
8.0,0.8189061943823552,2081
9.0,0.8099829966228645,2019
10.0,0.8050112339837472,1955
11.0,0.7989617668469933,1863
12.0,0.7935572904083439,1774
13.0,0.7879192279542881,1689
14.0,0.7799704841666031,1586
15.0,0.7747427999563712,1492
16.0,0.766358137619181,1386
17.0,0.7580475149029389,1291
18.0,0.7548889835908433,1200
19.0,0.7488444988467885,1124
20.0,0.7394568628921037,1037
21.0,0.7316401941511723,946
22.0,0.7299697827490007,876
23.0,0.7200810295344207,812
24.0,0.7161675456782554,736
25.0,0.7140673475970875,682
26.0,0.710617746884058,621
27.0,0.7006963821806157,573
28.0,0.6993617224050336,525
29.0,0.6978800238406161,472
30.0,0.6914031790717936,431
31.0,0.6878665899205313,391
33.0,0.6857947026014936,332
35.0,0.6832067980633747,265
37.0,0.6799378660152245,209
39.0,0.6756882543526294,160
41.0,0.6698127043147805,115
