,OR,CI_low,CI_high,p
정신과 입원력,1.3176113828868379,1.147997107114095,1.5122858285569014,8.742167202303228e-05
반복 시도(2회 이상),1.2643525999612535,1.09248067414605,1.463263868057287,0.0016521696702480359
생애 스트레스 사건 총점,1.2784949601523465,1.0955385365579509,1.4920053549832264,0.0018206829877863903
삽화 횟수,1.149513525777932,1.00858823202694,1.3101296485393827,0.03678384061799256
비정형 증상,0.9387247854242731,0.8156735130805796,1.0803393865785542,0.3777446923794934
아동기 성적학대,0.9422607594342712,0.8151851313554727,1.0891456487845188,0.42101988927366585
조증 증상 동반,1.0572475898852038,0.9193925644422739,1.215772793416206,0.43481602004837794
신경증 성향,1.0569679271046477,0.9095606985405759,1.2282645905000675,0.46968207583671506
멜랑콜리아 아형,0.9588500171379577,0.8302121124450385,1.107419828720371,0.5675015025602055
우울증 가족력 비율,0.9609733422870911,0.8313820403402331,1.1107646301915588,0.5901401911238515
교육 수준,0.96698948419759,0.8345995677700192,1.120379998574822,0.6549814275342838
첫 시도 연령,0.965785655475004,0.8274399636510099,1.127262367417736,0.6589638338578168
조증 가족력 비율,1.0283287691208878,0.8959265114336051,1.180297763160953,0.6911896757241389
범불안장애 동반,0.974795897881747,0.8447798978685874,1.1248220334368055,0.7267054681737625
공황장애 동반,0.9785337847600304,0.8518850540114199,1.124011230632476,0.7589499441004369
우울 증상 개수,0.9780046397315326,0.8435034757490685,1.1339527374051384,0.7682689448432181
