,OR,CI_low,CI_high,p
우울 증상 개수,1.2349135718101263,1.0106368471458098,1.5089609429417754,0.03907129541857812
교육 수준,1.2068535004573289,1.0069703714026423,1.4464133334303642,0.04183560231119419
신경증 성향,0.8463123575951851,0.7053901026362616,1.0153879448286731,0.07255227832036025
조증 가족력 비율,1.1295756664374605,0.9618527035918844,1.3265453030831393,0.13735759265199504
생애 스트레스 사건 총점,0.8653227874105083,0.710694235466913,1.0535944841594989,0.1498168373631329
정신과 입원력,0.8840527669230909,0.7411297938871338,1.0545376817267644,0.17076492824969125
반복 시도(2회 이상),1.1196995044559432,0.9344181176331181,1.3417194686406302,0.2205711168866349
아동기 성적학대,1.110718957998597,0.9265925894077982,1.331433704262589,0.256159148606247
삽화 횟수,0.9223858037526069,0.7520739773077924,1.131265801816392,0.4379086436884192
비정형 증상,0.9333300989183374,0.7818079458521596,1.114218751764439,0.44524453842813183
첫 시도 연령,1.061079969943085,0.8731096327264524,1.2895181319883144,0.5512028693973168
멜랑콜리아 아형,1.058353198997031,0.8742781292712172,1.2811843923866129,0.5607274763385199
범불안장애 동반,0.9544888918330752,0.7961610883446423,1.1443024005694147,0.6147226358212787
조증 증상 동반,1.0376148379107049,0.8717372653541308,1.2350562430241945,0.67779996508861
우울증 가족력 비율,1.0306957077934709,0.8590162087873199,1.2366863758759443,0.7450062084930832
공황장애 동반,0.9893671388094165,0.8294067170614093,1.1801777285141726,0.9054308597662061
