event,n_pairs,mean_diff,pct_higher_in_attempt_ep,wilcoxon_p
폭행/신체적 공격,722,0.06101108033240997,0.14958448753462603,5.49310821936237e-06
가족 갈등,722,0.054547553093259475,0.25761772853185594,0.005469045188789945
자연재해,722,0.010156971375807941,0.0221606648199446,0.07560477032125094
부채,722,-0.03215604801477377,0.1634349030470914,0.12017896844706287
이혼,722,0.0034395198522622393,0.10803324099722991,0.38429559424436077
기타 사건,722,-0.016597414589104333,0.10526315789473684,0.5773689152296947
파산,722,0.00032317636195752916,0.08448753462603878,0.6193577793467899
배우자 사망,722,-0.004755309325946444,0.023545706371191136,0.6285251900642157
가족 사망,722,-0.005978762696214214,0.12465373961218837,0.8095792970924476
실직,722,-0.00477839335180055,0.07756232686980609,0.8161322968862843
부상/사고,722,-0.003947368421052631,0.045706371191135735,0.9501384933098298
