event,prev_attempt_ep,prev_other_ep,chi2,p
폭행/신체적 공격,0.18724559023066487,0.08616934386060442,78.13757748243486,9.610814045626488e-19
가족 갈등,0.6512890094979648,0.5334876123060169,36.999568126661586,1.1815541418348861e-09
기타 사건,0.1614654002713704,0.2383610127960795,21.841267283973185,2.9616140246523143e-06
자연재해,0.021709633649932156,0.007350939286686632,14.456218699247703,0.00014345542189235773
파산,0.10990502035278155,0.081404846174789,6.704958291895126,0.009614517963281204
이혼,0.11533242876526459,0.08712224339776749,6.187441948070279,0.012866003358146305
부상/사고,0.052917232021709636,0.038524367002450315,3.2610091717777183,0.07094545237716036
부채,0.33514246947082765,0.3092839640620746,1.9689687784805807,0.16055736286110328
실직,0.08955223880597014,0.07623196297304656,1.4821242427445547,0.2234424603671793
가족 사망,0.14789687924016282,0.1521916689354751,0.06549620435784823,0.7980108640774773
배우자 사망,0.036635006784260515,0.03825210999183229,0.013851285328074366,0.9063121149298339
