,OR,CI_low,CI_high,p
Nscore_,1.3612814500826633,1.0831900889612545,1.710768225470205,0.008160649980265014
marital_Separated,0.2738466481948943,0.08591928869969119,0.8728189893388599,0.028526760568372337
social_support,0.8310154562813495,0.6661181301244454,1.036733061821156,0.10094371600919813
marital_Married,0.7070352563542742,0.4058373548112444,1.2317714172971042,0.22095679648833022
pbi_mother_overprotect,0.8742180060706906,0.6839376889547423,1.117436770162825,0.2831114317421122
pbi_father_care,0.8848242507918168,0.6876821786716131,1.1384822510620312,0.3413582950431534
panic_bin,1.2114927653236385,0.7725717506838528,1.8997778771128355,0.4032514733063052
SLEscore_,1.1133454454826095,0.8614177147310341,1.4389512309529169,0.41205360499477806
melancholia_bin,0.7162856738100181,0.3056636773582021,1.678528410505967,0.4425085273195466
fh_man_ratio,0.9229848709327013,0.7438429387837754,1.14527009339305,0.4666524194493039
gad_bin,0.8523406780026129,0.550566897903565,1.319521086618618,0.4736772580369937
atypical_bin,0.8602902501139257,0.5628597285220085,1.314891218784614,0.48690806173064216
n_episodes,1.10566536910206,0.828578165392096,1.4754141003137469,0.49497169128650875
fh_dep_ratio,1.079846015938285,0.8591313269315578,1.3572632979203199,0.5102334719938685
age_onset,0.9201373106764424,0.7102439899460528,1.192058901565903,0.528653129705623
manic_bin,0.8628407267936221,0.5408749670324696,1.376462519421892,0.5358528581566884
csa_any,1.1467174631661035,0.714690838563777,1.8399017720342028,0.5703645391967305
social_conflict,1.059693685032025,0.8437633937123535,1.3308834140765968,0.6179808753528766
edu_level,0.9470523617647716,0.7423258314644748,1.2082405567846046,0.6615593941882687
dsm_symptom_count,1.0400475515772243,0.8405306120540335,1.286923871693851,0.7178467301971783
pbi_father_overprotect,1.042284316543894,0.8173052021903318,1.3291932971942397,0.738513458142497
age,0.9564453564896377,0.6994096890741407,1.3079425896452208,0.7803502496059802
marital_Widowed,1.1589422966157772,0.36988736710497666,3.6312330896768836,0.8001548073705371
marital_NeverMarried,1.0561900649757847,0.5059200463315207,2.2049678826574106,0.8842591630722714
pbi_mother_care,1.0117552700242722,0.7904694239568443,1.2949883896809322,0.926058896686166
