,OR,CI_low,CI_high,p
Nscore_,3.4713550791254204,3.1006962712633213,3.8863226292268154,1.7195743828188922e-103
case,1.9568749099323437,1.620408824493635,2.3632057263816515,3.0767331445338025e-12
social_support,0.8857151226085239,0.8225554582783787,0.9537244820663946,0.001303395673021063
edu_level,0.875247888421487,0.8022274079361564,0.9549148515843741,0.0027185305191795945
pbi_father_overprotect,0.8977304735935361,0.8255801870591111,0.9761862213400856,0.011609896631831557
csa_any,1.1886409388002106,0.9947695102009849,1.420296125789368,0.05714011092125205
age,1.0766714200568248,0.9912945857137316,1.1694014710395508,0.07968118117861937
pbi_mother_overprotect,0.9574279064086052,0.8811111544520321,1.0403547740126453,0.30465571658224044
pbi_mother_care,1.0339508641196926,0.9498434800285366,1.1255058458491929,0.44055273233890513
pbi_father_care,1.0295780162398918,0.9464083459562472,1.1200565760580015,0.4975987075047674
social_conflict,1.021785030689765,0.947761755526359,1.1015897643620913,0.5743406455570057
