item,label,strength,expected_influence,betweenness,closeness
scl.blue,Feeling blue,1.2009138112831155,1.2009138112831155,0.14285714285714288,0.07264037195596353
scl.no.interest,No interest,1.0810309769332151,1.0810309769332151,0.17142857142857143,0.08023905410329965
scl.worthless,Worthless,1.0696757464622244,1.0696757464622244,0.17142857142857143,0.07493049206748395
scl.blame,Self-blame,0.9726510752637686,0.9726510752637686,0.08571428571428572,0.07176079705689893
scl.hopeless,Hopeless,0.9706940351005214,0.9706940351005214,0.09523809523809525,0.07314924286982673
scl.effortful,Everything effortful,0.9456868939928458,0.9456868939928458,0.04761904761904762,0.06746572269122238
scl.lonely,Lonely,0.9196031011028937,0.9196031011028937,0.0,0.06215722652029383
scl.fall.asleep,Trouble falling asleep,0.858765473871857,0.858765473871857,0.06666666666666668,0.04720998779882434
scl.low.energy,Low energy,0.8341408338826802,0.8341408338826802,0.1142857142857143,0.06186298817642051
scl.restless.sleep,Restless sleep,0.8184554985675492,0.8184554985675492,0.04761904761904762,0.046550243288148094
scl.worry,Worry,0.7935619082482258,0.7935619082482258,0.0,0.06597856530156601
scl.trapped,Feeling trapped,0.757921462651085,0.757921462651085,0.0380952380952381,0.06418356854233243
scl.cry,Crying,0.7202429974976448,0.7202429974976448,0.0,0.05661074589275546
scl.suicide.thought,SUICIDAL IDEATION,0.6301352772010551,0.6301352772010551,0.0,0.057975932603937554
scl.poor.appetite,Poor appetite,0.6177291139718255,0.6177291139718255,0.09523809523809525,0.06030086120572826
scl.no.pleasure,No pleasure,0.48637789418355754,0.48637789418355754,0.0,0.051654693180798364
