item,label,strength,expected_influence,betweenness,closeness
scl.blue,Feeling blue,1.2108246398183837,1.2108246398183837,0.17142857142857143,0.08837995075884786
scl.worthless,Worthless,1.1655758130933795,1.1655758130933795,0.0761904761904762,0.08458149827369037
scl.no.interest,No interest,1.0846022383219467,1.0846022383219467,0.24761904761904763,0.09402852840998473
scl.hopeless,Hopeless,1.0829201759373535,1.0829201759373535,0.10476190476190478,0.08725340148916076
scl.blame,Self-blame,1.0102234649508852,1.0102234649508852,0.05714285714285715,0.08086758832995458
scl.restless.sleep,Restless sleep,0.9395468961627131,0.9395468961627131,0.04761904761904762,0.051225569794956814
scl.fall.asleep,Trouble falling asleep,0.9316053158111275,0.9316053158111275,0.06666666666666668,0.05166567399026669
scl.effortful,Everything effortful,0.9139591255532051,0.9139591255532051,0.009523809523809525,0.07474919600529512
scl.low.energy,Low energy,0.8865391456821592,0.8865391456821592,0.13333333333333336,0.07578607392625022
scl.suicide.thought,SUICIDAL IDEATION,0.8660706988575059,0.8660706988575059,0.04761904761904762,0.0752516001748773
scl.worry,Worry,0.8497527998506521,0.8497527998506521,0.04761904761904762,0.08135813093710548
scl.trapped,Feeling trapped,0.7983177757695465,0.7983177757695465,0.009523809523809525,0.06764733596638803
scl.lonely,Lonely,0.7839131285109978,0.7839131285109978,0.01904761904761905,0.07553757141813007
scl.cry,Crying,0.7795546907712267,0.7795546907712267,0.04761904761904762,0.06853722036527822
scl.poor.appetite,Poor appetite,0.5424570969424182,0.5424570969424182,0.1142857142857143,0.06435786317590726
scl.no.pleasure,No pleasure,0.31248943247009053,0.31248943247009053,0.0,0.058670658945333055
