item,label,strength,expected_influence,betweenness,closeness
scl.blue,Feeling blue,1.2480734739534656,1.2480734739534656,0.17142857142857143,0.08484569851710445
scl.worthless,Worthless,1.1890362689238458,1.1890362689238458,0.10476190476190478,0.08447449233073928
scl.no.interest,No interest,1.1078850566057676,1.1078850566057676,0.2571428571428572,0.09290467025813005
scl.hopeless,Hopeless,1.09966338439887,1.09966338439887,0.10476190476190478,0.08501495652768885
scl.blame,Self-blame,0.9905760659697553,0.9905760659697553,0.06666666666666668,0.07631538971154136
scl.fall.asleep,Trouble falling asleep,0.9688778505195297,0.9688778505195297,0.08571428571428572,0.05132993756604254
scl.restless.sleep,Restless sleep,0.9559864811373656,0.9559864811373656,0.0380952380952381,0.05000754720399358
scl.effortful,Everything effortful,0.9516653849615215,0.9516653849615215,0.01904761904761905,0.07398363380343093
scl.lonely,Lonely,0.8654095716691905,0.8654095716691905,0.0380952380952381,0.07459852256729037
scl.low.energy,Low energy,0.8568970676538215,0.8568970676538215,0.13333333333333336,0.06904733627092799
scl.suicide.thought,SUICIDAL IDEATION,0.8375098998712359,0.8375098998712359,0.0380952380952381,0.07402118142858194
scl.worry,Worry,0.8351384358783053,0.8351384358783053,0.0380952380952381,0.07712932139360774
scl.trapped,Feeling trapped,0.796279859377566,0.796279859377566,0.0,0.06519342489847281
scl.cry,Crying,0.7704972646201884,0.7704972646201884,0.009523809523809525,0.06223553443376046
scl.poor.appetite,Poor appetite,0.6155666370015423,0.6155666370015423,0.1142857142857143,0.06517316639663065
scl.no.pleasure,No pleasure,0.34209218075475945,0.34209218075475945,0.0,0.05513567391925247
