,scl.no.pleasure,scl.no.interest,scl.hopeless,scl.effortful,scl.worthless,scl.poor.appetite,scl.fall.asleep,scl.restless.sleep,scl.low.energy,scl.suicide.thought,scl.cry,scl.trapped,scl.blame,scl.lonely,scl.blue,scl.worry
scl.no.pleasure,0.0,0.06983488400413396,0.012448363624564272,0.0,-0.0,0.021075669867222528,0.04306711147831067,0.0,0.267051453425274,0.025360943470341856,0.02414232893036838,-0.0,0.008375552935518076,0.015021586447823808,-0.0,0.0
scl.no.interest,0.06983488400413396,0.0,0.19152814222634598,0.036055610242588666,0.061191940716021555,0.08193701348157295,0.0028290448859283803,0.013032545036232234,0.11756467713310524,0.026781245264290866,0.04075345475675995,0.013740259093478736,0.075153502804534,0.09018898899695889,0.15280040964486086,0.10763925864640268
scl.hopeless,0.012448363624564272,0.19152814222634598,0.0,0.19896757061215953,0.27188296373979876,0.014463820686637709,0.016721576920796708,0.010470189763585222,0.03413893811726654,0.0854216810270661,0.0,0.016705046523841312,0.008879597098289648,0.03400238327984288,0.05659091834072221,0.01847284313960467
scl.effortful,0.0,0.036055610242588666,0.19896757061215953,0.0,0.1940855576339401,0.05518778770454956,0.0,0.041791413336456605,0.029176045797822615,0.013740988436795542,0.006154776906186975,0.12257018899616105,0.08320873362470085,0.018650330673660887,0.04743089792743387,0.09866699210038975
scl.worthless,-0.0,0.061191940716021555,0.27188296373979876,0.1940855576339401,0.0,0.10232686175142418,0.0,0.004337737549458394,0.0,0.1355261173127131,0.007152784863887227,0.06114852834588256,0.11219015913529154,0.059721961554897764,0.06011113385890911,0.0
scl.poor.appetite,0.021075669867222528,0.08193701348157295,0.014463820686637709,0.05518778770454956,0.10232686175142418,0.0,0.1141836133331437,0.0035791528268083587,0.07710296047321148,0.04653132447866761,0.020523940183614548,0.03584232355989704,0.0,0.02050932499234899,0.019726390030748317,0.004738930601978536
scl.fall.asleep,0.04306711147831067,0.0028290448859283803,0.016721576920796708,0.0,0.0,0.1141836133331437,0.0,0.534623097678289,0.021243103496716948,0.007446662581389496,0.039022523331127386,0.0016700951637960038,0.004836578759534122,0.02249974768662752,0.03045813558167806,0.02016418297451888
scl.restless.sleep,0.0,0.013032545036232234,0.010470189763585222,0.041791413336456605,0.004337737549458394,0.0035791528268083587,0.534623097678289,0.0,9.409182868553285e-05,0.05180716708427175,0.014884046692661053,0.0,0.05025041031177751,0.03458958682544967,0.00662998034758131,0.05246017111497804
scl.low.energy,0.267051453425274,0.11756467713310524,0.03413893811726654,0.029176045797822615,0.0,0.07710296047321148,0.021243103496716948,9.409182868553285e-05,0.0,0.0067042023608324995,0.06076187235456681,0.032942003597854715,0.017249399627092883,0.033902828970211324,0.09039948772348394,0.045903860805241274
scl.suicide.thought,0.025360943470341856,0.026781245264290866,0.0854216810270661,0.013740988436795542,0.1355261173127131,0.04653132447866761,0.007446662581389496,0.05180716708427175,0.0067042023608324995,0.0,0.07729543611053985,0.09705096789992511,0.0531036415947239,0.003364899579497409,0.0,-0.0
scl.cry,0.02414232893036838,0.04075345475675995,0.0,0.006154776906186975,0.007152784863887227,0.020523940183614548,0.039022523331127386,0.014884046692661053,0.06076187235456681,0.07729543611053985,0.0,0.02530779635554935,0.10861611559356305,0.11320877299239514,0.09867763961597796,0.08374150881044706
scl.trapped,-0.0,0.013740259093478736,0.016705046523841312,0.12257018899616105,0.06114852834588256,0.03584232355989704,0.0016700951637960038,0.0,0.032942003597854715,0.09705096789992511,0.02530779635554935,0.0,0.13861867486771653,0.03896994449380257,0.1407009373687953,0.03265469638438464
scl.blame,0.008375552935518076,0.075153502804534,0.008879597098289648,0.08320873362470085,0.11219015913529154,0.0,0.004836578759534122,0.05025041031177751,0.017249399627092883,0.0531036415947239,0.10861611559356305,0.13861867486771653,0.0,0.05098898292178866,0.123097779960814,0.13808194602842383
scl.lonely,0.015021586447823808,0.09018898899695889,0.03400238327984288,0.018650330673660887,0.059721961554897764,0.02050932499234899,0.02249974768662752,0.03458958682544967,0.033902828970211324,0.003364899579497409,0.11320877299239514,0.03896994449380257,0.05098898292178866,0.0,0.283618172463921,0.10036558922366712
scl.blue,-0.0,0.15280040964486086,0.05659091834072221,0.04743089792743387,0.06011113385890911,0.019726390030748317,0.03045813558167806,0.00662998034758131,0.09039948772348394,0.0,0.09867763961597796,0.1407009373687953,0.123097779960814,0.283618172463921,0.0,0.0906719284181894
scl.worry,0.0,0.10763925864640268,0.01847284313960467,0.09866699210038975,0.0,0.004738930601978536,0.02016418297451888,0.05246017111497804,0.045903860805241274,-0.0,0.08374150881044706,0.03265469638438464,0.13808194602842383,0.10036558922366712,0.0906719284181894,0.0
