,scl.no.pleasure,scl.no.interest,scl.hopeless,scl.effortful,scl.worthless,scl.poor.appetite,scl.fall.asleep,scl.restless.sleep,scl.low.energy,scl.suicide.thought,scl.cry,scl.trapped,scl.blame,scl.lonely,scl.blue,scl.worry
scl.no.pleasure,0.0,0.02123634393991523,-0.0,0.02294580520740082,-0.0,0.0,0.0,0.0,0.24246995231701954,0.0,0.009872962832952846,0.015964368172802074,-0.0,-0.0,0.0,0.0
scl.no.interest,0.02123634393991523,0.0,0.27715405691607053,0.0347480296966455,0.10501008501163007,0.1145298532696621,0.0,0.01315329133843616,0.1687782035359421,0.0,0.0,0.0,0.004632780546391654,0.01620829601943402,0.22559316250663747,0.10355813554118215
scl.hopeless,-0.0,0.27715405691607053,0.0,0.19546490223315854,0.2631119580016677,0.013763265439229807,0.04471220328228547,0.0,0.0023892460893815896,0.12076980551160284,0.0,0.0,0.04248924037115106,0.008015175629750479,0.06062071220333356,0.0544296102597218
scl.effortful,0.02294580520740082,0.0347480296966455,0.19546490223315854,0.0,0.29137004404182354,0.018751752002409448,0.0,0.022582617310827727,0.015253098907737352,0.0004396959507546485,0.005898270576758714,0.08315531581449812,0.021392185822123537,0.04808461109925009,0.03482212316034219,0.11905067372947473
scl.worthless,-0.0,0.10501008501163007,0.2631119580016677,0.29137004404182354,0.0,0.0871356369439536,0.0,0.011254251728907087,0.0,0.12273606687980036,0.0,0.0057737764873699035,0.17133569342830848,0.04763255247532108,0.06021574809459783,0.0
scl.poor.appetite,0.0,0.1145298532696621,0.013763265439229807,0.018751752002409448,0.0871356369439536,0.0,0.11806548588524879,0.03518562386681568,0.042929462826201165,0.05149288552521943,0.037029363473852286,0.01764327401446858,-0.0,0.005930493695357322,0.0,0.0
scl.fall.asleep,0.0,0.0,0.04471220328228547,0.0,0.0,0.11806548588524879,0.0,0.5958172561142596,0.033346728268656665,0.006801232304056453,0.04788348577814096,0.0,0.0,0.05484590691432288,0.012502079002013593,0.01763093826214292
scl.restless.sleep,0.0,0.01315329133843616,0.0,0.022582617310827727,0.011254251728907087,0.03518562386681568,0.5958172561142596,0.0,0.023729600003019727,0.04172708933333729,0.05891339306522662,0.03903056169195696,0.015480735761290734,0.011819818834222642,0.0,0.070852657114413
scl.low.energy,0.24246995231701954,0.1687782035359421,0.0023892460893815896,0.015253098907737352,0.0,0.042929462826201165,0.033346728268656665,0.023729600003019727,0.0,0.10804051037468766,0.013033052124434534,0.04757902382892122,0.03906161625188634,-0.0,0.1499286511542714,0.0
scl.suicide.thought,0.0,0.0,0.12076980551160284,0.0004396959507546485,0.12273606687980036,0.05149288552521943,0.006801232304056453,0.04172708933333729,0.10804051037468766,0.0,0.15941490972841219,0.09954036683340468,0.13589815847479006,0.0,0.01920997794144032,0.0
scl.cry,0.009872962832952846,0.0,0.0,0.005898270576758714,0.0,0.037029363473852286,0.04788348577814096,0.05891339306522662,0.013033052124434534,0.15941490972841219,0.0,0.1313597653105043,0.05709571487443558,0.10887756074286019,0.041509590387233265,0.10866662187641546
scl.trapped,0.015964368172802074,0.0,0.0,0.08315531581449812,0.0057737764873699035,0.01764327401446858,0.0,0.03903056169195696,0.04757902382892122,0.09954036683340468,0.1313597653105043,0.0,0.19529134847081747,0.06248260377738257,0.10049737136742068,0.0
scl.blame,-0.0,0.004632780546391654,0.04248924037115106,0.021392185822123537,0.17133569342830848,-0.0,0.0,0.015480735761290734,0.03906161625188634,0.13589815847479006,0.05709571487443558,0.19529134847081747,0.0,0.0659678871155867,0.12224922992404305,0.13932887391006044
scl.lonely,-0.0,0.01620829601943402,0.008015175629750479,0.04808461109925009,0.04763255247532108,0.005930493695357322,0.05484590691432288,0.011819818834222642,-0.0,0.0,0.10887756074286019,0.06248260377738257,0.0659678871155867,0.0,0.2507444635636594,0.10330375864385044
scl.blue,0.0,0.22559316250663747,0.06062071220333356,0.03482212316034219,0.06021574809459783,0.0,0.012502079002013593,0.0,0.1499286511542714,0.01920997794144032,0.041509590387233265,0.10049737136742068,0.12224922992404305,0.2507444635636594,0.0,0.1329315305133911
scl.worry,0.0,0.10355813554118215,0.0544296102597218,0.11905067372947473,0.0,0.0,0.01763093826214292,0.070852657114413,0.0,0.0,0.10866662187641546,0.0,0.13932887391006044,0.10330375864385044,0.1329315305133911,0.0
