,scl.no.pleasure,scl.no.interest,scl.hopeless,scl.effortful,scl.worthless,scl.poor.appetite,scl.fall.asleep,scl.restless.sleep,scl.low.energy,scl.suicide.thought,scl.cry,scl.trapped,scl.blame,scl.lonely,scl.blue,scl.worry
scl.no.pleasure,0.0,0.04266948669324644,0.0,0.01591467543603905,-0.0,0.0,0.00415085916628308,0.0,0.25540868672880807,0.0,0.021097388485342927,0.0028510842450398966,0.0,0.0,0.0,0.0
scl.no.interest,0.04266948669324644,0.0,0.2507898478979733,0.03946146564555026,0.0941468647084381,0.11136960443839591,0.0014452548338847171,0.020784001409166697,0.14951133439586678,0.003063458662108038,0.002444532653480685,0.0,0.02929681633725206,0.04489536137484949,0.2096862802722328,0.10832074728332257
scl.hopeless,0.0,0.2507898478979733,0.0,0.20047391830112904,0.273498018991106,0.02348324499364689,0.05100567530243428,0.0037481652406650746,0.011009030831632124,0.12010549677651618,0.0,0.0,0.030528278744139135,0.021499138249159635,0.07087191118675498,0.04265065788371336
scl.effortful,0.01591467543603905,0.03946146564555026,0.20047391830112904,0.0,0.26800035047642706,0.0333784109153388,0.0,0.03493513263040086,0.016461033136933742,0.0043810888798285616,0.004860247146827556,0.09274324671371346,0.03901125180020719,0.04401237923276962,0.045262993719433535,0.112769190926923
scl.worthless,-0.0,0.0941468647084381,0.273498018991106,0.26800035047642706,0.0,0.09680725176403314,0.0,0.01948530534770528,0.0,0.14106486136671847,0.0,0.025557641356730172,0.14967332992102778,0.05347002138767373,0.06733262360398598,0.0
scl.poor.appetite,0.0,0.11136960443839591,0.02348324499364689,0.0333784109153388,0.09680725176403314,0.0,0.12851477897540095,0.034618027518615216,0.052779064633028436,0.05306965732163179,0.03401774513037671,0.025628301210162734,0.0,0.019971638313684374,0.0019289117872274462,0.0
scl.fall.asleep,0.00415085916628308,0.0014452548338847171,0.05100567530243428,0.0,0.0,0.12851477897540095,0.0,0.5874068432770431,0.028162589533014086,0.013236344263575691,0.04535630597973582,0.0,0.0,0.054542699959088274,0.03413890415219899,0.0209175950768707
scl.restless.sleep,0.0,0.020784001409166697,0.0037481652406650746,0.03493513263040086,0.01948530534770528,0.034618027518615216,0.5874068432770431,0.0,0.011684814739395711,0.0493435389560637,0.047029513391756685,0.031745600584603975,0.021989861118563724,0.026241073268020727,0.0024117786401785563,0.06456282501518625
scl.low.energy,0.25540868672880807,0.14951133439586678,0.011009030831632124,0.016461033136933742,0.0,0.052779064633028436,0.028162589533014086,0.011684814739395711,0.0,0.07515671388015514,0.031554114379590194,0.04401151242098558,0.034464359176752245,0.0,0.12983882305735872,0.016854990740300606
scl.suicide.thought,0.0,0.003063458662108038,0.12010549677651618,0.0043810888798285616,0.14106486136671847,0.05306965732163179,0.013236344263575691,0.0493435389560637,0.07515671388015514,0.0,0.13469662516182795,0.11471350381472864,0.11665783426022346,0.0,0.012020776527858405,0.0
scl.cry,0.021097388485342927,0.002444532653480685,0.0,0.004860247146827556,0.0,0.03401774513037671,0.04535630597973582,0.047029513391756685,0.031554114379590194,0.13469662516182795,0.0,0.10376164918326476,0.07349298523317532,0.11175121099894234,0.059221757344954114,0.1012131895309133
scl.trapped,0.0028510842450398966,0.0,0.0,0.09274324671371346,0.025557641356730172,0.025628301210162734,0.0,0.031745600584603975,0.04401151242098558,0.11471350381472864,0.10376164918326476,0.0,0.17954346426497073,0.05876486448026541,0.10948881873493532,0.007470172368165266
scl.blame,0.0,0.02929681633725206,0.030528278744139135,0.03901125180020719,0.14967332992102778,0.0,0.0,0.021989861118563724,0.034464359176752245,0.11665783426022346,0.07349298523317532,0.17954346426497073,0.0,0.05970097328044862,0.1191551044925568,0.1370618073404382
scl.lonely,0.0,0.04489536137484949,0.021499138249159635,0.04401237923276962,0.05347002138767373,0.019971638313684374,0.054542699959088274,0.026241073268020727,0.0,0.0,0.11175121099894234,0.05876486448026541,0.05970097328044862,0.0,0.2669788709228029,0.10358134020148532
scl.blue,0.0,0.2096862802722328,0.07087191118675498,0.045262993719433535,0.06733262360398598,0.0019289117872274462,0.03413890415219899,0.0024117786401785563,0.12983882305735872,0.012020776527858405,0.059221757344954114,0.10948881873493532,0.1191551044925568,0.2669788709228029,0.0,0.11973591951098672
scl.worry,0.0,0.10832074728332257,0.04265065788371336,0.112769190926923,0.0,0.0,0.0209175950768707,0.06456282501518625,0.016854990740300606,0.0,0.1012131895309133,0.007470172368165266,0.1370618073404382,0.10358134020148532,0.11973591951098672,0.0
