,suicidality_severity,dsm_symptom_count,n_episodes,age_onset,melancholia_bin,gad_bin,panic_bin,psy_inpatient,Nscore_,csa_any,fh_dep_ratio,fh_man_ratio,pbi_mother_care,pbi_mother_overprotect,social_support,social_conflict,SLEscore_
suicidality_severity,0.0,0.2709291055301246,0.021935880136706113,-0.06412510977961268,0.0,0.03574235664361185,0.04639819674608029,0.11755834949402073,0.09679988534784775,0.0,0.0,0.013853969188382071,0.005735761959131007,-0.0,-0.02943696639920375,0.0,0.11994806935036148
dsm_symptom_count,0.2709291055301246,0.0,0.0,0.0,0.3039081732262559,0.05974890912260518,0.0,0.0,0.12601629651156196,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
n_episodes,0.021935880136706113,0.0,0.0,-0.03201281455352947,0.0,0.04235754698775644,0.0,0.0,0.0,0.0,0.015405258064269685,0.0,0.0,-0.0,-0.0,0.0,0.0
age_onset,-0.06412510977961268,0.0,-0.03201281455352947,0.0,-0.0,-0.03963682247727388,-0.00941164476245432,0.0427179308464155,-0.07991681063683354,-0.1322644066363475,-0.08664882571125444,-0.0,-0.02596961899370726,0.04449671507050073,0.0,-0.010952658477748409,-0.04678137105306404
melancholia_bin,0.0,0.3039081732262559,0.0,-0.0,0.0,0.0,0.0006953183751843277,0.0,0.008479928916816553,0.01075066411236831,0.0,0.0,-0.0,-0.0,-0.0,0.007284622411087836,-0.0
gad_bin,0.03574235664361185,0.05974890912260518,0.04235754698775644,-0.03963682247727388,0.0,0.0,0.02461500580056181,-0.0,0.1748997993946152,0.02904495730154801,0.019241827339315815,0.0,0.0,-0.004420285557883722,-0.0,0.0030892810537749556,0.022976098301383203
panic_bin,0.04639819674608029,0.0,0.0,-0.00941164476245432,0.0006953183751843277,0.02461500580056181,0.0,0.0,0.08529229303807923,0.0,0.04547394521387175,0.01970234794290297,0.0,-0.01049965593947405,-0.0,0.010276140899708984,0.054545458917141444
psy_inpatient,0.11755834949402073,0.0,0.0,0.0427179308464155,0.0,-0.0,0.0,0.0,-0.012553800600130944,-0.0,-0.010687186597663281,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Nscore_,0.09679988534784775,0.12601629651156196,0.0,-0.07991681063683354,0.008479928916816553,0.1748997993946152,0.08529229303807923,-0.012553800600130944,0.0,0.04345714613520546,0.06518467566683486,0.0,0.05113921700802851,-0.06680135836692856,-0.05320604309683488,0.16292351242633313,0.08204950352817493
csa_any,0.0,-0.0,0.0,-0.1322644066363475,0.01075066411236831,0.02904495730154801,0.0,-0.0,0.04345714613520546,0.0,0.05451633364860764,0.0,0.07539186778506458,-0.0,-0.0,0.04564831937087208,0.1369541825834078
fh_dep_ratio,0.0,0.0,0.015405258064269685,-0.08664882571125444,0.0,0.019241827339315815,0.04547394521387175,-0.010687186597663281,0.06518467566683486,0.05451633364860764,0.0,0.13717832434072724,0.04325067924140304,-0.04452085297748285,-0.015620394260473859,0.05363904767573483,0.0984397445364179
fh_man_ratio,0.013853969188382071,0.0,0.0,-0.0,0.0,0.0,0.01970234794290297,0.0,0.0,0.0,0.13717832434072724,0.0,0.0,-0.02405100775176833,-0.0,0.04250548876208422,0.06347542100767664
pbi_mother_care,0.005735761959131007,-0.0,0.0,-0.02596961899370726,-0.0,0.0,0.0,-0.0,0.05113921700802851,0.07539186778506458,0.04325067924140304,0.0,0.0,-0.047982698087848656,-0.1324828433928232,0.13574317964443683,0.043894918155633116
pbi_mother_overprotect,-0.0,-0.0,-0.0,0.04449671507050073,-0.0,-0.004420285557883722,-0.01049965593947405,-0.0,-0.06680135836692856,-0.0,-0.04452085297748285,-0.02405100775176833,-0.047982698087848656,0.0,0.0,-0.021621137832448983,-0.0011179814820231435
social_support,-0.02943696639920375,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.05320604309683488,-0.0,-0.015620394260473859,-0.0,-0.1324828433928232,0.0,0.0,-0.0007534922369049754,-0.06488053004081104
social_conflict,0.0,0.0,0.0,-0.010952658477748409,0.007284622411087836,0.0030892810537749556,0.010276140899708984,-0.0,0.16292351242633313,0.04564831937087208,0.05363904767573483,0.04250548876208422,0.13574317964443683,-0.021621137832448983,-0.0007534922369049754,0.0,0.05320859343074899
SLEscore_,0.11994806935036148,0.0,0.0,-0.04678137105306404,-0.0,0.022976098301383203,0.054545458917141444,-0.0,0.08204950352817493,0.1369541825834078,0.0984397445364179,0.06347542100767664,0.043894918155633116,-0.0011179814820231435,-0.06488053004081104,0.05320859343074899,0.0
