var,n,OR,CI_low,CI_high,p
SCLscore_,3000,1.034452232643335,1.0289174355960133,1.0400168027096526,3.583440242207207e-35
n_wished_dead,2997,3.6250788791352857,2.9301944343758373,4.484752522148569,1.8782357367346313e-32
SLEscore_,3000,1.211944370100963,1.1728628504752368,1.2523281435883722,1.4132436534554003e-30
dsm_symptom_count,3000,1.6987351715052854,1.5270962200730247,1.8896655921072867,1.840721237843157e-22
Nscore_,3000,1.07654840312878,1.058762624659888,1.094632958592984,4.029603247163498e-18
age_onset,3000,0.9690003271669938,0.9612458038378592,0.9768174074735654,1.5713853485854377e-14
panic_bin,3000,1.6626876386645435,1.3885378178969443,1.9909649907519158,3.192498223566384e-08
dysthymia_bin,3000,1.6372471210706496,1.3641086407198986,1.9650767214842026,1.1945632519562331e-07
gad_bin,3000,1.5635436108000513,1.3230365861763864,1.8477709901725583,1.5644558898075852e-07
age,3000,0.983834921494426,0.9770867577814131,0.9906296908063122,3.468823639950544e-06
melancholia_bin,3000,1.8617991982289246,1.4237706947602424,2.4345888472648873,5.5840283380416345e-06
manic_bin,3000,1.4797259578787116,1.2339729785090163,1.7744220891009341,2.3494259364419043e-05
csa_any,3000,1.3602339251224322,1.1476469077276532,1.6121999881631326,0.00038783681533768915
fh_man_ratio,2903,2.514150012030535,1.3183297871041035,4.794665450803469,0.00512584585147508
n_episodes,3000,1.040513634613248,1.0114711363703004,1.0703900337692938,0.005965823866311074
fh_dep_ratio,2877,1.3888879445020326,1.076887490888025,1.7912825050947314,0.011386998460985457
atypical_bin,3000,1.232959265278745,1.0474430466416513,1.451332895579177,0.011832778643282957
illness_duration,3000,1.0079395654130343,1.0008926475326185,1.0150360980565676,0.027159288010420578
fh_man_any,3000,1.262653898768809,0.9421910545918509,1.6921142058249623,0.1184500225616839
fh_dep_any,3000,1.112562216127581,0.9454548930154361,1.3092054352872289,0.19896198742695825
